Municípios;Código municipal;UF;% do total geral
Antônio João;5000906;MS;77,39
Antônio Martins;2400901;RN;42,28
Antônio Olinto;4101309;PR;31,43
Antônio Prado;4300802;RS;78,59
Antônio Prado de Minas;3103108;MG;66,94
Aparecida;2500775;PB;64,05
Aparecida;3502507;SP;98,53
Aparecida d'Oeste;3502606;SP;83,79
Aparecida de Goiânia;5201405;GO;72,3
Aparecida do Rio Doce;5201454;GO;78,62
Aparecida do Rio Negro;1701101;TO;72,45
Aparecida do Taboado;5001003;MS;68,64
Aperibé;3300159;RJ;86,78
Apiacá;3200508;ES;71,81
Apiacás;5100805;MT;47,38
Apiaí;3502705;SP;80,64
Apicum-Açu;2100832;MA;90,82
Apiúna;4201257;SC;67,81
Apodi;2401008;RN;57,35
Aporá;2901908;BA;90,44
Aporé;5201504;GO;76,96
Apuarema;2901957;BA;66,45
Apucarana;4101408;PR;96,46
Apuí;1300144;AM;30,68
Apuiarés;2300903;CE;78,67
Aquidabã;2800209;SE;80,05
Aquidauana;5001102;MS;86,81
Aquiraz;2301000;CE;26,37
Arabutã;4201273;SC;44,74
Araçagi;2500809;PB;68,07
Araçaí;3103207;MG;86,2
Aracaju;2800308;SE;97,43
Araçariguama;3502754;SP;79,05
Araçás;2902054;BA;78,89
Aracati;2301109;CE;78,9
Aracatu;2902005;BA;43,95
Araçatuba;3502804;SP;97,31
Araci;2902104;BA;64,34
Aracitaba;3103306;MG;81,97
Aracoiaba;2301208;CE;71,14
Araçoiaba;2601052;PE;41,02
Araçoiaba da Serra;3502903;SP;84,84
Aracruz;3200607;ES;90,09
Araçu;5201603;GO;85,54
Araçuaí;3103405;MG;78,52
Aragarças;5201702;GO;94,35
Aragoiânia;5201801;GO;60,61
Aragominas;1701309;TO;54,85
Araguacema;1701903;TO;61,57
Araguaçu;1702000;TO;63,04
Araguaiana;5101001;MT;69,32
Araguaína;1702109;TO;94,99
Araguainha;5101209;MT;87,75
Araguanã;1702158;TO;70,23
Araguanã;2100873;MA;47,29
Araguapaz;5202155;GO;66,28
Araguari;3103504;MG;92,48
Araguatins;1702208;TO;75,44
Araioses;2100907;MA;42,83
Aral Moreira;5001243;MS;68,46
Aramari;2902203;BA;80,81
Arambaré;4300851;RS;81,67
Arame;2100956;MA;56,29
Aramina;3503000;SP;93,66
Arandu;3503109;SP;77,89
Arantina;3103603;MG;91,55
Arapeí;3503158;SP;80,34
Arapiraca;2700300;AL;77,6
Arapoema;1702307;TO;80,22
Araponga;3103702;MG;44,79
Arapongas;4101507;PR;95,27
Araporã;3103751;MG;94,93
Arapoti;4101606;PR;87,5
Arapuá;3103801;MG;79,33
Arapuã;4101655;PR;50,41
Araputanga;5101258;MT;86,45
Araquari;4201307;SC;75,63
Arara;2500908;PB;44,31
Araranguá;4201406;SC;70,39
Araraquara;3503208;SP;98,55
Araras;3503307;SP;96,35
Ararendá;2301257;CE;88,26
Arari;2101004;MA;62,39
Araricá;4300877;RS;10,92
Araripe;2301307;CE;61,09
Araripina;2601102;PE;49,95
Araruama;3300209;RJ;95,18
Araruna;2501005;PB;32,63
Araruna;4101705;PR;84,44
Arataca;2902252;BA;61,42
Aratiba;4300901;RS;60,79
Aratuba;2301406;CE;30,68
Aratuípe;2902302;BA;59,41
Arauá;2800407;SE;58,54
Araucária;4101804;PR;85,95
Araújos;3103900;MG;86,05
Araxá;3104007;MG;96,46
Arceburgo;3104106;MG;90,05
Arco-Íris;3503356;SP;75,03
Arcos;3104205;MG;95,66
Arcoverde;2601201;PE;85,7
Areado;3104304;MG;86,97
Areal;3300225;RJ;71,17
Arealva;3503406;SP;77,04
Areia;2501104;PB;65,19
Areia Branca;2401107;RN;83,69
Areia Branca;2800506;SE;65,57
Areia de Baraúnas;2501153;PB;52,9
Areial;2501203;PB;27,01
Areias;3503505;SP;78,72
Areiópolis;3503604;SP;94,85
Arenápolis;5101308;MT;85,07
Arenópolis;5202353;GO;64,32
Arês;2401206;RN;77,79
Argirita;3104403;MG;73,81
Aricanduva;3104452;MG;59,49
Arinos;3104502;MG;69,28
Aripuanã;5101407;MT;57,99
Ariquemes;1100023;RO;54,34
Ariranha;3503703;SP;96,38
Ariranha do Ivaí;4101853;PR;56,6
Armação dos Búzios;3300233;RJ;94,41
Armazém;4201505;SC;43,75
Arneiroz;2301505;CE;64,79
Aroazes;2200905;PI;67,47
Aroeiras;2501302;PB;27,93
Aroeiras do Itaim;2200954;PI;63,94
Arraial;2201002;PI;90,8
Arraial do Cabo;3300258;RJ;78,6
Arraias;1702406;TO;66
Arroio do Meio;4301008;RS;90,16
Arroio do Padre;4301073;RS;19,81
Arroio do Sal;4301057;RS;68,04
Arroio do Tigre;4301206;RS;66,26
Arroio dos Ratos;4301107;RS;95,25
Arroio Grande;4301305;RS;86,6
Arroio Trinta;4201604;SC;75,77
Artur Nogueira;3503802;SP;88,66
Aruanã;5202502;GO;61,73
Arujá;3503901;SP;94,89
Arvoredo;4201653;SC;44,71
Arvorezinha;4301404;RS;76,29
Ascurra;4201703;SC;85,72
Aspásia;3503950;SP;79,68
Assaí;4101903;PR;88,94
Assaré;2301604;CE;64,2
Assis;3504008;SP;96,94
Assis Brasil;1200054;AC;56,55
Assis Chateaubriand;4102000;PR;89,82
Assunção;2501351;PB;61,08
Assunção do Piauí;2201051;PI;79,63
Astolfo Dutra;3104601;MG;89,99
Astorga;4102109;PR;93,31
Atalaia;2700409;AL;67,85
Atalaia;4102208;PR;91,22
Atalaia do Norte;1300201;AM;43,63
Atalanta;4201802;SC;40,17
Ataléia;3104700;MG;59,2
Atibaia;3504107;SP;76,26
Atílio Vivácqua;3200706;ES;73,36
Augustinópolis;1702554;TO;90,77
Augusto Corrêa;1500909;PA;50,83
Augusto de Lima;3104809;MG;62,62
Augusto Pestana;4301503;RS;94,57
Áurea;4301552;RS;47,12
Aurelino Leal;2902401;BA;85,06
Auriflama;3504206;SP;91,29
Aurilândia;5202601;GO;79,24
Aurora;2301703;CE;57,68
Aurora;4201901;SC;34,51
Aurora do Pará;1500958;PA;65,33
Aurora do Tocantins;1702703;TO;69,91
Autazes;1300300;AM;25,46
Avaí;3504305;SP;78,78
Avanhandava;3504404;SP;96,44
Avaré;3504503;SP;94,15
Aveiro;1501006;PA;27,89
Avelino Lopes;2201101;PI;64,54
Avelinópolis;5202809;GO;72,43
Axixá;2101103;MA;53,08
Axixá do Tocantins;1702901;TO;93,69
Babaçulândia;1703008;TO;53,69
Bacabal;2101202;MA;81,41
Bacabeira;2101251;MA;85,95
Bacuri;2101301;MA;83,38
Bacurituba;2101350;MA;76,12
Bady Bassitt;3504602;SP;95,39
Baependi;3104908;MG;79,95
Bagé;4301602;RS;96,98
Bagre;1501105;PA;43,68
Baía da Traição;2501401;PB;97,64
Baía Formosa;2401404;RN;77,45
Baianópolis;2902500;BA;78,8
Baião;1501204;PA;58,5
Baixa Grande;2902609;BA;63,93
Baixa Grande do Ribeiro;2201150;PI;83,49
Baixio;2301802;CE;74,24
Baixo Guandu;3200805;ES;84,52
Balbinos;3504701;SP;91,88
Baldim;3105004;MG;80,31
Baliza;5203104;GO;37,87
Balneário Arroio do Silva;4201950;SC;93,42
Balneário Barra do Sul;4202057;SC;90,94
Balneário Camboriú;4202008;SC;97,06
Balneário Gaivota;4202073;SC;51,86
Balneário Piçarras;4212809;SC;83,92
Balneário Pinhal;4301636;RS;58,97
Balneário Rincão;4220000;SC;87,19
Balsa Nova;4102307;PR;86,12
Bálsamo;3504800;SP;92,91
Balsas;2101400;MA;79,3
Bambuí;3105103;MG;87,98
Banabuiú;2301851;CE;85,46
Bananal;3504909;SP;82,1
Bananeiras;2501500;PB;27,63
Bandeira;3105202;MG;64,77
Bandeira do Sul;3105301;MG;90,14
Bandeirante;4202081;SC;55,3
Bandeirantes;4102406;PR;91,85
Bandeirantes;5001508;MS;73,09
Bandeirantes do Tocantins;1703057;TO;68,3
Bannach;1501253;PA;45,05
Banzaê;2902658;BA;74,03
Barão;4301651;RS;84,84
Barão de Antonina;3505005;SP;75,52
Barão de Cocais;3105400;MG;90,26
Barão de Cotegipe;4301701;RS;75,63
Barão de Grajaú;2101509;MA;53,87
Barão de Melgaço;5101605;MT;37,78
Barão de Monte Alto;3105509;MG;80,06
Barão do Triunfo;4301750;RS;11,79
Baraúna;2401453;RN;76,02
Baraúna;2501534;PB;0,46
Barbacena;3105608;MG;88,21
Barbalha;2301901;CE;70,04
Barbosa;3505104;SP;91,9
Barbosa Ferraz;4102505;PR;82,54
Barcarena;1501303;PA;31,07
Barcelona;2401503;RN;84,94
Barcelos;1300409;AM;54,97
Bariri;3505203;SP;96,3
Barra;2902708;BA;67,96
Barra Bonita;3505302;SP;98,56
Barra Bonita;4202099;SC;37,97
Barra D'Alcântara;2201176;PI;96,79
Barra da Estiva;2902807;BA;75,74
Barra de Guabiraba;2601300;PE;85
Barra de Santa Rosa;2501609;PB;56,56
Barra de Santana;2501575;PB;5,65
Barra de Santo Antônio;2700508;AL;94,93
Barra de São Francisco;3200904;ES;68,54
Barra de São Miguel;2501708;PB;60,33
Barra de São Miguel;2700607;AL;87,22
Barra do Bugres;5101704;MT;86,37
Barra do Chapéu;3505351;SP;51,33
