Municípios;Código municipal;UF;% do total geral
Antônio Dias;3103009;MG;76,57
Antônio Gonçalves;2901809;BA;78,41
Antônio João;5000906;MS;75,63
Antônio Martins;2400901;RN;67,16
Antônio Olinto;4101309;PR;59,36
Antônio Prado;4300802;RS;94,99
Antônio Prado de Minas;3103108;MG;84,97
Aparecida;2500775;PB;79,73
Aparecida;3502507;SP;98,57
Aparecida d'Oeste;3502606;SP;93,69
Aparecida de Goiânia;5201405;GO;99,61
Aparecida do Rio Doce;5201454;GO;92,36
Aparecida do Rio Negro;1701101;TO;78,54
Aparecida do Taboado;5001003;MS;92,4
Aperibé;3300159;RJ;96,08
Apiacá;3200508;ES;78,91
Apiacás;5100805;MT;74,1
Apiaí;3502705;SP;92,55
Apicum-Açu;2100832;MA;47,7
Apiúna;4201257;SC;97,2
Apodi;2401008;RN;72,07
Aporá;2901908;BA;83,19
Aporé;5201504;GO;80,92
Apuarema;2901957;BA;77,94
Apucarana;4101408;PR;98,2
Apuí;1300144;AM;53,07
Apuiarés;2300903;CE;72,82
Aquidabã;2800209;SE;90,51
Aquidauana;5001102;MS;82,49
Aquiraz;2301000;CE;90,23
Arabutã;4201273;SC;98,01
Araçagi;2500809;PB;59,94
Araçaí;3103207;MG;90,44
Aracaju;2800308;SE;99,62
Araçariguama;3502754;SP;95,51
Araçás;2902054;BA;78,87
Aracati;2301109;CE;88,49
Aracatu;2902005;BA;33,8
Araçatuba;3502804;SP;99,38
Araci;2902104;BA;67,05
Aracitaba;3103306;MG;87,35
Aracoiaba;2301208;CE;87,09
Araçoiaba;2601052;PE;85,58
Araçoiaba da Serra;3502903;SP;99,22
Aracruz;3200607;ES;95,3
Araçu;5201603;GO;94,31
Araçuaí;3103405;MG;75,95
Aragarças;5201702;GO;95,51
Aragoiânia;5201801;GO;93,59
Aragominas;1701309;TO;53,76
Araguacema;1701903;TO;68,61
Araguaçu;1702000;TO;74,38
Araguaiana;5101001;MT;74,33
Araguaína;1702109;TO;95,3
Araguainha;5101209;MT;85,54
Araguanã;1702158;TO;86,17
Araguanã;2100873;MA;49,56
Araguapaz;5202155;GO;73,74
Araguari;3103504;MG;96,23
Araguatins;1702208;TO;72,03
Araioses;2100907;MA;34,75
Aral Moreira;5001243;MS;74,75
Aramari;2902203;BA;65,98
Arambaré;4300851;RS;96,3
Arame;2100956;MA;43,11
Aramina;3503000;SP;98,2
Arandu;3503109;SP;97,57
Arantina;3103603;MG;95,86
Arapeí;3503158;SP;96,72
Arapiraca;2700300;AL;96,77
Arapoema;1702307;TO;87
Araponga;3103702;MG;72,15
Arapongas;4101507;PR;99,03
Araporã;3103751;MG;97,64
Arapoti;4101606;PR;93,18
Arapuá;3103801;MG;82,97
Arapuã;4101655;PR;75,17
Araputanga;5101258;MT;89,72
Araquari;4201307;SC;99,64
Arara;2500908;PB;80,41
Araranguá;4201406;SC;99,09
Araraquara;3503208;SP;99,59
Araras;3503307;SP;99,48
Ararendá;2301257;CE;58,41
Arari;2101004;MA;58,84
Araricá;4300877;RS;99,1
Araripe;2301307;CE;63,93
Araripina;2601102;PE;63,49
Araruama;3300209;RJ;96,42
Araruna;2501005;PB;80,17
Araruna;4101705;PR;89,99
Arataca;2902252;BA;73,49
Aratiba;4300901;RS;91,68
Aratuba;2301406;CE;64,63
Aratuípe;2902302;BA;60,79
Arauá;2800407;SE;80,5
Araucária;4101804;PR;99,64
Araújos;3103900;MG;95,95
Araxá;3104007;MG;98,93
Arceburgo;3104106;MG;98,34
Arco-Íris;3503356;SP;82,26
Arcos;3104205;MG;98,21
Arcoverde;2601201;PE;94,37
Areado;3104304;MG;97,04
Areal;3300225;RJ;98,18
Arealva;3503406;SP;93,34
Areia;2501104;PB;72,16
Areia Branca;2401107;RN;96,71
Areia Branca;2800506;SE;93,14
Areia de Baraúnas;2501153;PB;51,71
Areial;2501203;PB;80,56
Areias;3503505;SP;95,29
Areiópolis;3503604;SP;98,53
Arenápolis;5101308;MT;92,55
Arenópolis;5202353;GO;82,37
Arês;2401206;RN;91,1
Argirita;3104403;MG;87,94
Aricanduva;3104452;MG;52,15
Arinos;3104502;MG;70,48
Aripuanã;5101407;MT;71,47
Ariquemes;1100023;RO;90,42
Ariranha;3503703;SP;98,82
Ariranha do Ivaí;4101853;PR;60,74
Armação dos Búzios;3300233;RJ;99,59
Armazém;4201505;SC;92,92
Arneiroz;2301505;CE;63,68
Aroazes;2200905;PI;68,24
Aroeiras;2501302;PB;52,66
Aroeiras do Itaim;2200954;PI;61,81
Arraial;2201002;PI;58,12
Arraial do Cabo;3300258;RJ;99,38
Arraias;1702406;TO;67,35
Arroio do Meio;4301008;RS;99,58
Arroio do Padre;4301073;RS;94,41
Arroio do Sal;4301057;RS;99,75
Arroio do Tigre;4301206;RS;66,06
Arroio dos Ratos;4301107;RS;97,33
Arroio Grande;4301305;RS;92,41
Arroio Trinta;4201604;SC;95,26
Artur Nogueira;3503802;SP;99
Aruanã;5202502;GO;88,99
Arujá;3503901;SP;99,51
Arvoredo;4201653;SC;85,4
Arvorezinha;4301404;RS;82,29
Ascurra;4201703;SC;99,37
Aspásia;3503950;SP;88,07
Assaí;4101903;PR;91,49
Assaré;2301604;CE;69,26
Assis;3504008;SP;98,9
Assis Brasil;1200054;AC;62,98
Assis Chateaubriand;4102000;PR;93,55
Assunção;2501351;PB;83,58
Assunção do Piauí;2201051;PI;39,67
Astolfo Dutra;3104601;MG;91,89
Astorga;4102109;PR;94,52
Atalaia;2700409;AL;90,08
Atalaia;4102208;PR;95,44
Atalaia do Norte;1300201;AM;46,43
Atalanta;4201802;SC;91,25
Ataléia;3104700;MG;60,45
Atibaia;3504107;SP;99,34
Atílio Vivácqua;3200706;ES;94,07
Augustinópolis;1702554;TO;89,92
Augusto Corrêa;1500909;PA;58,68
Augusto de Lima;3104809;MG;79,2
Augusto Pestana;4301503;RS;71,84
Áurea;4301552;RS;80,88
Aurelino Leal;2902401;BA;83,59
Auriflama;3504206;SP;96,61
Aurilândia;5202601;GO;87,75
Aurora;2301703;CE;58,3
Aurora;4201901;SC;85,27
Aurora do Pará;1500958;PA;60,64
Aurora do Tocantins;1702703;TO;68,74
Autazes;1300300;AM;49,65
Avaí;3504305;SP;93,03
Avanhandava;3504404;SP;96,72
Avaré;3504503;SP;98,34
Aveiro;1501006;PA;24,66
Avelino Lopes;2201101;PI;64,43
Avelinópolis;5202809;GO;87,38
Axixá;2101103;MA;32
Axixá do Tocantins;1702901;TO;77,8
Babaçulândia;1703008;TO;56,26
Bacabal;2101202;MA;79,93
Bacabeira;2101251;MA;80,49
Bacuri;2101301;MA;29,03
Bacurituba;2101350;MA;12,4
Bady Bassitt;3504602;SP;98,94
Baependi;3104908;MG;86,67
Bagé;4301602;RS;98,28
Bagre;1501105;PA;42,94
Baía da Traição;2501401;PB;49,64
Baía Formosa;2401404;RN;94,24
Baianópolis;2902500;BA;34,47
Baião;1501204;PA;54,27
Baixa Grande;2902609;BA;68,38
Baixa Grande do Ribeiro;2201150;PI;61,86
Baixio;2301802;CE;67,88
Baixo Guandu;3200805;ES;88,76
Balbinos;3504701;SP;95,39
Baldim;3105004;MG;84,33
Baliza;5203104;GO;41,06
Balneário Arroio do Silva;4201950;SC;99,7
Balneário Barra do Sul;4202057;SC;99,81
Balneário Camboriú;4202008;SC;99,89
Balneário Gaivota;4202073;SC;99,87
Balneário Piçarras;4212809;SC;99,65
Balneário Pinhal;4301636;RS;99,61
Balneário Rincão;4220000;SC;99,79
Balsa Nova;4102307;PR;97,91
Bálsamo;3504800;SP;97,82
Balsas;2101400;MA;88,06
Bambuí;3105103;MG;93,05
Banabuiú;2301851;CE;58,48
Bananal;3504909;SP;96,28
Bananeiras;2501500;PB;71,11
Bandeira;3105202;MG;64,77
Bandeira do Sul;3105301;MG;99,46
Bandeirante;4202081;SC;68,54
Bandeirantes;4102406;PR;93,31
Bandeirantes;5001508;MS;77,2
Bandeirantes do Tocantins;1703057;TO;70,28
Bannach;1501253;PA;48
Banzaê;2902658;BA;85,03
Barão;4301651;RS;98,48
Barão de Antonina;3505005;SP;99,33
Barão de Cocais;3105400;MG;97,7
Barão de Cotegipe;4301701;RS;89,55
Barão de Grajaú;2101509;MA;64,26
Barão de Melgaço;5101605;MT;46,84
Barão de Monte Alto;3105509;MG;90,66
Barão do Triunfo;4301750;RS;42,76
Baraúna;2401453;RN;79,54
Baraúna;2501534;PB;83,17
Barbacena;3105608;MG;96,28
Barbalha;2301901;CE;88,86
Barbosa;3505104;SP;93,55
Barbosa Ferraz;4102505;PR;87,9
Barcarena;1501303;PA;85,55
Barcelona;2401503;RN;83,72
Barcelos;1300409;AM;63,98
Bariri;3505203;SP;98,05
Barra;2902708;BA;61,39
Barra Bonita;3505302;SP;99,32
Barra Bonita;4202099;SC;61,37
Barra D'Alcântara;2201176;PI;64,66
Barra da Estiva;2902807;BA;63,81
Barra de Guabiraba;2601300;PE;89,68
Barra de Santa Rosa;2501609;PB;67,81
Barra de Santana;2501575;PB;36,35
Barra de Santo Antônio;2700508;AL;95,89
Barra de São Francisco;3200904;ES;79,1
Barra de São Miguel;2501708;PB;73,92
Barra de São Miguel;2700607;AL;97,59
Barra do Bugres;5101704;MT;90,57
Barra do Chapéu;3505351;SP;85,87
Barra do Choça;2902906;BA;87,34
Barra do Corda;2101608;MA;67,63
Barra do Garças;5101803;MT;94,78
Barra do Guarita;4301859;RS;80,66
Barra do Jacaré;4102703;PR;79,9
Barra do Mendes;2903003;BA;62,83
Barra do Ouro;1703073;TO;72,63
Barra do Piraí;3300308;RJ;98,04
Barra do Quaraí;4301875;RS;89,4
Barra do Ribeiro;4301909;RS;96,14
Barra do Rio Azul;4301925;RS;77,1
Barra do Rocha;2903102;BA;70,25
Barra do Turvo;3505401;SP;89,9
Barra dos Coqueiros;2800605;SE;98,86
Barra Funda;4301958;RS;93,3
Barra Longa;3105707;MG;79,38
Barra Mansa;3300407;RJ;99,48
Barra Velha;4202107;SC;99,47
Barracão;4102604;PR;81,48
Barracão;4301800;RS;73,54
Barras;2201200;PI;48,87
Barreira;2301950;CE;80,14
Barreiras;2903201;BA;94,32
Barreiras do Piauí;2201309;PI;58,06
Barreirinha;1300508;AM;35,3
Barreirinhas;2101707;MA;50,93
Barreiros;2601409;PE;88,48
Barretos;3505500;SP;98,39
Barrinha;3505609;SP;99,75
Barro;2302008;CE;70,17
Barro Alto;2903235;BA;62,99
Barro Alto;5203203;GO;92,65
