Municípios;Código municipal;UF;% do total geral
Anhumas;3502408;SP;85,21
Anicuns;5201306;GO;84,79
Anísio de Abreu;2200707;PI;73,48
Anita Garibaldi;4201000;SC;80,91
Anitápolis;4201109;SC;87,7
Anori;1300102;AM;69,33
Anta Gorda;4300703;RS;86
Antas;2901601;BA;71,21
Antonina;4101200;PR;80,97
Antonina do Norte;2300804;CE;74,11
Antônio Almeida;2200806;PI;60,65
Antônio Cardoso;2901700;BA;69,65
Antônio Carlos;3102902;MG;74,42
Antônio Carlos;4201208;SC;88,77
Antônio Dias;3103009;MG;74,7
Antônio Gonçalves;2901809;BA;77,03
Antônio João;5000906;MS;70,92
Antônio Martins;2400901;RN;79,26
Antônio Olinto;4101309;PR;72,23
Antônio Prado;4300802;RS;90,48
Antônio Prado de Minas;3103108;MG;77,8
Aparecida;2500775;PB;79,21
Aparecida;3502507;SP;89,06
Aparecida d'Oeste;3502606;SP;87,07
Aparecida de Goiânia;5201405;GO;91,79
Aparecida do Rio Doce;5201454;GO;90,52
Aparecida do Rio Negro;1701101;TO;78,27
Aparecida do Taboado;5001003;MS;88,49
Aperibé;3300159;RJ;84,96
Apiacá;3200508;ES;74,07
Apiacás;5100805;MT;86,19
Apiaí;3502705;SP;75,8
Apicum-Açu;2100832;MA;72,6
Apiúna;4201257;SC;94,63
Apodi;2401008;RN;87,45
Aporá;2901908;BA;73,65
Aporé;5201504;GO;89,26
Apuarema;2901957;BA;73,86
Apucarana;4101408;PR;89,18
Apuí;1300144;AM;57,78
Apuiarés;2300903;CE;65,93
Aquidabã;2800209;SE;70,5
Aquidauana;5001102;MS;81,18
Aquiraz;2301000;CE;84,18
Arabutã;4201273;SC;83,19
Araçagi;2500809;PB;73,91
Araçaí;3103207;MG;71,88
Aracaju;2800308;SE;90,61
Araçariguama;3502754;SP;89,87
Araçás;2902054;BA;72,35
Aracati;2301109;CE;84,85
Aracatu;2902005;BA;71,12
Araçatuba;3502804;SP;91,25
Araci;2902104;BA;75,67
Aracitaba;3103306;MG;75,03
Aracoiaba;2301208;CE;76,22
Araçoiaba;2601052;PE;73,61
Araçoiaba da Serra;3502903;SP;91,77
Aracruz;3200607;ES;89,63
Araçu;5201603;GO;82,41
Araçuaí;3103405;MG;73,78
Aragarças;5201702;GO;86,89
Aragoiânia;5201801;GO;87,88
Aragominas;1701309;TO;74,03
Araguacema;1701903;TO;75,91
Araguaçu;1702000;TO;84,89
Araguaiana;5101001;MT;90,94
Araguaína;1702109;TO;89,45
Araguainha;5101209;MT;66,59
Araguanã;1702158;TO;67,3
Araguanã;2100873;MA;68
Araguapaz;5202155;GO;86,69
Araguari;3103504;MG;88,01
Araguatins;1702208;TO;80,95
Araioses;2100907;MA;62,02
Aral Moreira;5001243;MS;81,43
Aramari;2902203;BA;79,26
Arambaré;4300851;RS;76,46
Arame;2100956;MA;52,51
Aramina;3503000;SP;84,37
Arandu;3503109;SP;87,39
Arantina;3103603;MG;85,61
Arapeí;3503158;SP;70,73
Arapiraca;2700300;AL;85,36
Arapoema;1702307;TO;81,85
