Municípios;Código municipal;UF;% do total geral
Assis Chateaubriand;4102000;PR;99,92
Assunção;2501351;PB;89,18
Assunção do Piauí;2201051;PI;83,59
Astolfo Dutra;3104601;MG;99,92
Astorga;4102109;PR;99,97
Atalaia;2700409;AL;94,19
Atalaia;4102208;PR;100
Atalaia do Norte;1300201;AM;47,73
Atalanta;4201802;SC;99,92
Ataléia;3104700;MG;97,96
Atibaia;3504107;SP;99,93
Atílio Vivácqua;3200706;ES;99,87
Augustinópolis;1702554;TO;98,66
Augusto Corrêa;1500909;PA;82,45
Augusto de Lima;3104809;MG;99,47
Augusto Pestana;4301503;RS;99,89
Áurea;4301552;RS;100
Aurelino Leal;2902401;BA;95,54
Auriflama;3504206;SP;99,98
Aurilândia;5202601;GO;100
Aurora;2301703;CE;94,99
Aurora;4201901;SC;99,92
Aurora do Pará;1500958;PA;77,33
Aurora do Tocantins;1702703;TO;97,33
Autazes;1300300;AM;79,94
Avaí;3504305;SP;99,58
Avanhandava;3504404;SP;100
Avaré;3504503;SP;99,83
Aveiro;1501006;PA;76,41
Avelino Lopes;2201101;PI;90,34
Avelinópolis;5202809;GO;100
Axixá;2101103;MA;74,28
Axixá do Tocantins;1702901;TO;94,41
Babaçulândia;1703008;TO;92,43
Bacabal;2101202;MA;92,61
Bacabeira;2101251;MA;83,69
Bacuri;2101301;MA;56,75
Bacurituba;2101350;MA;80,14
Bady Bassitt;3504602;SP;99,98
Baependi;3104908;MG;99,87
Bagé;4301602;RS;99,68
Bagre;1501105;PA;41,65
Baía da Traição;2501401;PB;96,92
Baía Formosa;2401404;RN;99,5
Baianópolis;2902500;BA;95,15
Baião;1501204;PA;89,11
Baixa Grande;2902609;BA;82,47
Baixa Grande do Ribeiro;2201150;PI;81,87
Baixio;2301802;CE;95,57
Baixo Guandu;3200805;ES;99,75
Balbinos;3504701;SP;100
Baldim;3105004;MG;99,49
Baliza;5203104;GO;99,46
Balneário Arroio do Silva;4201950;SC;99,82
Balneário Barra do Sul;4202057;SC;99,65
Balneário Camboriú;4202008;SC;99,92
Balneário Gaivota;4202073;SC;99,97
Balneário Piçarras;4212809;SC;99,88
Balneário Pinhal;4301636;RS;99,52
Balneário Rincão;4220000;SC;99,98
Balsa Nova;4102307;PR;99,67
Bálsamo;3504800;SP;100
Balsas;2101400;MA;95
Bambuí;3105103;MG;99,84
Banabuiú;2301851;CE;88,76
Bananal;3504909;SP;99,84
Bananeiras;2501500;PB;89,77
Bandeira;3105202;MG;97,66
Bandeira do Sul;3105301;MG;100
Bandeirante;4202081;SC;99,47
Bandeirantes;4102406;PR;99,82
Bandeirantes;5001508;MS;99,97
Bandeirantes do Tocantins;1703057;TO;97,5
Bannach;1501253;PA;93,42
Banzaê;2902658;BA;97,89
Barão;4301651;RS;99,96
Barão de Antonina;3505005;SP;99,85
Barão de Cocais;3105400;MG;99,83
Barão de Cotegipe;4301701;RS;99,51
Barão de Grajaú;2101509;MA;86,57
Barão de Melgaço;5101605;MT;97,09
Barão de Monte Alto;3105509;MG;99,84
Barão do Triunfo;4301750;RS;98,63
Baraúna;2401453;RN;99,14
Baraúna;2501534;PB;88,84
Barbacena;3105608;MG;99,91
Barbalha;2301901;CE;98
Barbosa;3505104;SP;99,91
Barbosa Ferraz;4102505;PR;99,72
Barcarena;1501303;PA;95,49
Barcelona;2401503;RN;99,57
Barcelos;1300409;AM;67,6
Bariri;3505203;SP;99,97
Barra;2902708;BA;86,02
Barra Bonita;3505302;SP;99,97
Barra Bonita;4202099;SC;99,02
Barra D'Alcântara;2201176;PI;96,1
Barra da Estiva;2902807;BA;97,56
Barra de Guabiraba;2601300;PE;98,82
Barra de Santa Rosa;2501609;PB;84,45
Barra de Santana;2501575;PB;94,83
Barra de Santo Antônio;2700508;AL;97,95
Barra de São Francisco;3200904;ES;99,64
Barra de São Miguel;2501708;PB;98,81
Barra de São Miguel;2700607;AL;98,42
Barra do Bugres;5101704;MT;99,6
Barra do Chapéu;3505351;SP;98,72
Barra do Choça;2902906;BA;98,39
Barra do Corda;2101608;MA;87,43
Barra do Garças;5101803;MT;97,82
Barra do Guarita;4301859;RS;100
Barra do Jacaré;4102703;PR;100
Barra do Mendes;2903003;BA;97,11
Barra do Ouro;1703073;TO;86,57
Barra do Piraí;3300308;RJ;99,72
Barra do Quaraí;4301875;RS;99,25
Barra do Ribeiro;4301909;RS;98,87
Barra do Rio Azul;4301925;RS;100
Barra do Rocha;2903102;BA;97,2
Barra do Turvo;3505401;SP;99,11
Barra dos Coqueiros;2800605;SE;99,76
Barra Funda;4301958;RS;100
Barra Longa;3105707;MG;99,95
Barra Mansa;3300407;RJ;99,91
Barra Velha;4202107;SC;99,93
Barracão;4102604;PR;99,75
Barracão;4301800;RS;99,79
Barras;2201200;PI;79,03
Barreira;2301950;CE;98,09
Barreiras;2903201;BA;99,24
Barreiras do Piauí;2201309;PI;81,4
Barreirinha;1300508;AM;71,14
Barreirinhas;2101707;MA;82,36
Barreiros;2601409;PE;98,54
Barretos;3505500;SP;99,98
Barrinha;3505609;SP;99,86
Barro;2302008;CE;96,27
Barro Alto;2903235;BA;97,35
Barro Alto;5203203;GO;99,78
Barro Duro;2201408;PI;96,51
Barro Preto;2903300;BA;96,39
Barrocas;2903276;BA;97,18
Barrolândia;1703107;TO;99,54
Barroquinha;2302057;CE;90,68
Barros Cassal;4302006;RS;96,97
Barroso;3105905;MG;99,84
Barueri;3505708;SP;99,96
Bastos;3505807;SP;99,67
Bataguassu;5001904;MS;99,9
Batalha;2201507;PI;88,83
Batalha;2700706;AL;89,87
Batatais;3505906;SP;99,97
Batayporã;5002001;MS;99,97
Baturité;2302107;CE;98,05
Bauru;3506003;SP;99,91
Bayeux;2501807;PB;99,75
Bebedouro;3506102;SP;99,97
Beberibe;2302206;CE;90,16
Bela Cruz;2302305;CE;95,66
Bela Vista;5002100;MS;99
Bela Vista da Caroba;4102752;PR;99,66
Bela Vista de Goiás;5203302;GO;99,91
Bela Vista de Minas;3106002;MG;99,89
Bela Vista do Maranhão;2101772;MA;88,09
Bela Vista do Paraíso;4102802;PR;99,98
Bela Vista do Piauí;2201556;PI;97,24
Bela Vista do Toldo;4202131;SC;96,68
Belágua;2101731;MA;54,35
Belém;1501402;PA;99,02
Belém;2501906;PB;97,21
Belém;2700805;AL;92,9
Belém de Maria;2601508;PE;97,62
Belém do Brejo do Cruz;2502003;PB;96,49
Belém do Piauí;2201572;PI;90,45
Belém do São Francisco;2601607;PE;82,51
Belford Roxo;3300456;RJ;99,87
Belmiro Braga;3106101;MG;100
Belmonte;2903409;BA;95,81
Belmonte;4202156;SC;99,9
Belo Campo;2903508;BA;96,37
Belo Horizonte;3106200;MG;99,89
Belo Jardim;2601706;PE;97,42
Belo Monte;2700904;AL;95,66
Belo Oriente;3106309;MG;99,95
Belo Vale;3106408;MG;99,82
Belterra;1501451;PA;93,81
Beneditinos;2201606;PI;84,05
Benedito Leite;2101806;MA;83,83
Benedito Novo;4202206;SC;99,87
Benevides;1501501;PA;98,31
Benjamin Constant;1300607;AM;69,88
Benjamin Constant do Sul;4302055;RS;93,1
Bento de Abreu;3506201;SP;100
Bento Fernandes;2401602;RN;93,75
