Municípios;Código municipal;UF;% do total geral
Arapoti;4101606;PR;58,2
Arapuá;3103801;MG;74,07
Arapuã;4101655;PR;70,23
Araputanga;5101258;MT;65,84
Araquari;4201307;SC;46,96
Arara;2500908;PB;72,69
Araranguá;4201406;SC;59,92
Araraquara;3503208;SP;52,88
Araras;3503307;SP;53,35
Ararendá;2301257;CE;75,77
Arari;2101004;MA;84,75
Araricá;4300877;RS;71,14
Araripe;2301307;CE;78,46
Araripina;2601102;PE;72,44
Araruama;3300209;RJ;70,07
Araruna;2501005;PB;80,87
Araruna;4101705;PR;50,79
Arataca;2902252;BA;59,26
Aratiba;4300901;RS;71,42
Aratuba;2301406;CE;81,49
Aratuípe;2902302;BA;87,72
Arauá;2800407;SE;79,5
Araucária;4101804;PR;53,97
Araújos;3103900;MG;64,32
Araxá;3104007;MG;53,8
Arceburgo;3104106;MG;53
Arco-Íris;3503356;SP;54,3
Arcos;3104205;MG;58,41
Arcoverde;2601201;PE;55,79
Areado;3104304;MG;60,43
Areal;3300225;RJ;69,99
Arealva;3503406;SP;54,95
Areia;2501104;PB;70,78
Areia Branca;2401107;RN;72,38
Areia Branca;2800506;SE;74,26
Areia de Baraúnas;2501153;PB;91,98
Areial;2501203;PB;72,6
Areias;3503505;SP;72,06
Areiópolis;3503604;SP;55,69
Arenápolis;5101308;MT;67,87
Arenópolis;5202353;GO;73,92
Arês;2401206;RN;79,71
Argirita;3104403;MG;72,9
Aricanduva;3104452;MG;78,51
Arinos;3104502;MG;69,8
Aripuanã;5101407;MT;62,99
Ariquemes;1100023;RO;54,68
Ariranha;3503703;SP;56,08
Ariranha do Ivaí;4101853;PR;71,14
Armação dos Búzios;3300233;RJ;61,45
Armazém;4201505;SC;70,66
Arneiroz;2301505;CE;68,1
Aroazes;2200905;PI;84,87
Aroeiras;2501302;PB;82,21
Aroeiras do Itaim;2200954;PI;89,57
Arraial;2201002;PI;93,48
Arraial do Cabo;3300258;RJ;71,68
Arraias;1702406;TO;76,43
Arroio do Meio;4301008;RS;65,53
Arroio do Padre;4301073;RS;90,42
Arroio do Sal;4301057;RS;74,78
Arroio do Tigre;4301206;RS;73,33
Arroio dos Ratos;4301107;RS;71,6
Arroio Grande;4301305;RS;71,51
Arroio Trinta;4201604;SC;68,8
Artur Nogueira;3503802;SP;52,68
Aruanã;5202502;GO;51,51
Arujá;3503901;SP;61,61
Arvoredo;4201653;SC;74,22
Arvorezinha;4301404;RS;79,42
Ascurra;4201703;SC;66,97
Aspásia;3503950;SP;68,24
Assaí;4101903;PR;60,97
Assaré;2301604;CE;69,28
Assis;3504008;SP;51,79
Assis Brasil;1200054;AC;77,64
Assis Chateaubriand;4102000;PR;54,82
Assunção;2501351;PB;71,39
Assunção do Piauí;2201051;PI;91,2
Astolfo Dutra;3104601;MG;75,59
Astorga;4102109;PR;66,74
Atalaia;2700409;AL;63,52
Atalaia;4102208;PR;66,1
Atalaia do Norte;1300201;AM;85,93
Atalanta;4201802;SC;74,04
Ataléia;3104700;MG;70,09
Atibaia;3504107;SP;52,82
Atílio Vivácqua;3200706;ES;70,64
Augustinópolis;1702554;TO;65,41
Augusto Corrêa;1500909;PA;90,22
Augusto de Lima;3104809;MG;72,76
Augusto Pestana;4301503;RS;69,34
Áurea;4301552;RS;86,19
Aurelino Leal;2902401;BA;74,79
Auriflama;3504206;SP;55,49
Aurilândia;5202601;GO;74,39
Aurora;2301703;CE;67,84
Aurora;4201901;SC;71,6
Aurora do Pará;1500958;PA;79,42
Aurora do Tocantins;1702703;TO;79,92
Autazes;1300300;AM;81,39
Avaí;3504305;SP;49
Avanhandava;3504404;SP;43,71
Avaré;3504503;SP;51,33
Aveiro;1501006;PA;91,98
Avelino Lopes;2201101;PI;83,1
Avelinópolis;5202809;GO;63,65
Axixá;2101103;MA;91,74
Axixá do Tocantins;1702901;TO;79,73
Babaçulândia;1703008;TO;86,35
Bacabal;2101202;MA;71,7
Bacabeira;2101251;MA;91,99
Bacuri;2101301;MA;90,36
Bacurituba;2101350;MA;94,84
Bady Bassitt;3504602;SP;36,52
Baependi;3104908;MG;64,8
Bagé;4301602;RS;64,36
Bagre;1501105;PA;91,52
Baía da Traição;2501401;PB;85,77
Baía Formosa;2401404;RN;73,55
Baianópolis;2902500;BA;90,64
Baião;1501204;PA;89,99
Baixa Grande;2902609;BA;80,36
Baixa Grande do Ribeiro;2201150;PI;84,72
Baixio;2301802;CE;81,76
Baixo Guandu;3200805;ES;62,27
Balbinos;3504701;SP;56,69
Baldim;3105004;MG;79,93
Baliza;5203104;GO;81,28
Balneário Arroio do Silva;4201950;SC;67,92
Balneário Barra do Sul;4202057;SC;65,92
Balneário Camboriú;4202008;SC;45,02
Balneário Gaivota;4202073;SC;70,15
Balneário Piçarras;4212809;SC;52,31
Balneário Pinhal;4301636;RS;75,71
Balneário Rincão;4220000;SC;66,96
Balsa Nova;4102307;PR;77,68
Bálsamo;3504800;SP;49,82
Balsas;2101400;MA;60,19
Bambuí;3105103;MG;62,49
Banabuiú;2301851;CE;77,78
Bananal;3504909;SP;65,03
Bananeiras;2501500;PB;79,87
Bandeira;3105202;MG;74,39
Bandeira do Sul;3105301;MG;57,04
Bandeirante;4202081;SC;71,89
Bandeirantes;4102406;PR;62,08
Bandeirantes;5001508;MS;47,19
Bandeirantes do Tocantins;1703057;TO;67,53
Bannach;1501253;PA;58,81
Banzaê;2902658;BA;89,39
Barão;4301651;RS;73,34
Barão de Antonina;3505005;SP;71,8
Barão de Cocais;3105400;MG;73,31
Barão de Cotegipe;4301701;RS;71,01
Barão de Grajaú;2101509;MA;80,16
Barão de Melgaço;5101605;MT;82,96
Barão de Monte Alto;3105509;MG;78,76
Barão do Triunfo;4301750;RS;87,46
Baraúna;2401453;RN;67,11
Baraúna;2501534;PB;79,62
Barbacena;3105608;MG;69,19
Barbalha;2301901;CE;64,35
Barbosa;3505104;SP;48,6
Barbosa Ferraz;4102505;PR;69,13
Barcarena;1501303;PA;79,1
Barcelona;2401503;RN;77,2
Barcelos;1300409;AM;85,95
Bariri;3505203;SP;53,72
Barra;2902708;BA;81,57
Barra Bonita;3505302;SP;56,83
Barra Bonita;4202099;SC;86,62
Barra D'Alcântara;2201176;PI;90,23
Barra da Estiva;2902807;BA;80,42
Barra de Guabiraba;2601300;PE;77,57
Barra de Santa Rosa;2501609;PB;75,53
Barra de Santana;2501575;PB;92,24
Barra de Santo Antônio;2700508;AL;64,08
Barra de São Francisco;3200904;ES;63,72
Barra de São Miguel;2501708;PB;81,34
Barra de São Miguel;2700607;AL;48,42
Barra do Bugres;5101704;MT;61,87
Barra do Chapéu;3505351;SP;83,8
Barra do Choça;2902906;BA;74,3
Barra do Corda;2101608;MA;75,72
Barra do Garças;5101803;MT;54,15
Barra do Guarita;4301859;RS;75,66
Barra do Jacaré;4102703;PR;61,15
Barra do Mendes;2903003;BA;82,07
Barra do Ouro;1703073;TO;77,13
Barra do Piraí;3300308;RJ;69,11
Barra do Quaraí;4301875;RS;62,95
Barra do Ribeiro;4301909;RS;72,89
Barra do Rio Azul;4301925;RS;90,48
Barra do Rocha;2903102;BA;64,24
Barra do Turvo;3505401;SP;75,26
Barra dos Coqueiros;2800605;SE;48,75
Barra Funda;4301958;RS;73,44
Barra Longa;3105707;MG;85,66
Barra Mansa;3300407;RJ;75,36
Barra Velha;4202107;SC;51,75
Barracão;4102604;PR;63,36
Barracão;4301800;RS;81,36
Barras;2201200;PI;81,19
Barreira;2301950;CE;84,11
Barreiras;2903201;BA;59,5
Barreiras do Piauí;2201309;PI;87,08
Barreirinha;1300508;AM;88,76
Barreirinhas;2101707;MA;87,45
Barreiros;2601409;PE;73,35
Barretos;3505500;SP;49,16
Barrinha;3505609;SP;45,55
Barro;2302008;CE;75,67
Barro Alto;2903235;BA;87,47
Barro Alto;5203203;GO;60,15
Barro Duro;2201408;PI;86,43
Barro Preto;2903300;BA;73,06
Barrocas;2903276;BA;86,85
Barrolândia;1703107;TO;69,61
Barroquinha;2302057;CE;82,24
Barros Cassal;4302006;RS;71,35
Barroso;3105905;MG;71,8
Barueri;3505708;SP;48,54
Bastos;3505807;SP;56,26
Bataguassu;5001904;MS;58,68
Batalha;2201507;PI;88,39
Batalha;2700706;AL;77,61
Batatais;3505906;SP;54,59
Batayporã;5002001;MS;56,44
Baturité;2302107;CE;68,77
Bauru;3506003;SP;51,12
Bayeux;2501807;PB;64,87
Bebedouro;3506102;SP;56,09
Beberibe;2302206;CE;82,68
Bela Cruz;2302305;CE;74,4
Bela Vista;5002100;MS;64,56
Bela Vista da Caroba;4102752;PR;78,1
Bela Vista de Goiás;5203302;GO;57,69
Bela Vista de Minas;3106002;MG;76,22
Bela Vista do Maranhão;2101772;MA;85,19
Bela Vista do Paraíso;4102802;PR;59,94
Bela Vista do Piauí;2201556;PI;90,11
Bela Vista do Toldo;4202131;SC;92,31
Belágua;2101731;MA;91,55
Belém;1501402;PA;69,31
Belém;2501906;PB;68,79
Belém;2700805;AL;85,34
Belém de Maria;2601508;PE;73,2
Belém do Brejo do Cruz;2502003;PB;69,58
Belém do Piauí;2201572;PI;89,48
Belém do São Francisco;2601607;PE;75,5
Belford Roxo;3300456;RJ;72,83
Belmiro Braga;3106101;MG;64,76
Belmonte;2903409;BA;70,38
Belmonte;4202156;SC;75,05
Belo Campo;2903508;BA;85,95
Belo Horizonte;3106200;MG;60,43
Belo Jardim;2601706;PE;61,31
Belo Monte;2700904;AL;92,68
Belo Oriente;3106309;MG;77,34
Belo Vale;3106408;MG;76,43
Belterra;1501451;PA;85,99
Beneditinos;2201606;PI;81,75
Benedito Leite;2101806;MA;86,43
Benedito Novo;4202206;SC;79,46
Benevides;1501501;PA;73,79
Benjamin Constant;1300607;AM;89,89
Benjamin Constant do Sul;4302055;RS;88,69
Bento de Abreu;3506201;SP;52,97
Bento Fernandes;2401602;RN;82,26
Bento Gonçalves;4302105;RS;54,71
Bequimão;2101905;MA;93,57
Berilo;3106507;MG;87,43
Berizal;3106655;MG;82,07
Bernardino Batista;2502052;PB;85,85
Bernardino de Campos;3506300;SP;57,76
Bernardo do Mearim;2101939;MA;85,19
Bernardo Sayão;1703206;TO;74,13
Bertioga;3506359;SP;51,88
Bertolínia;2201705;PI;83,69
Bertópolis;3106606;MG;79,24
Beruri;1300631;AM;89,5
Betânia;2601805;PE;83,68
Betânia do Piauí;2201739;PI;86,95
Betim;3106705;MG;63,57
Bezerros;2601904;PE;66,08
Bias Fortes;3106804;MG;80,55
Bicas;3106903;MG;59,6
Biguaçu;4202305;SC;61,63
Bilac;3506409;SP;52,22
Biquinhas;3107000;MG;79,36
Birigui;3506508;SP;50,78
Biritiba Mirim;3506607;SP;60,95
Biritinga;2903607;BA;86,98
Bituruna;4102901;PR;76,43
Blumenau;4202404;SC;55,34
Boa Esperança;3107109;MG;60,3
