"CD_MUN";"NM_MUN";"V00001";"V00002";"V00003";"V00004";"V00005";"V00006";"V00007";"V00008";"V00009";"V00010";"V00011";"V00012";"V00013";"V00014";"V00015";"V00016";"V00017";"V00018";"V00019";"V00020";"V00021";"V00022";"V00023";"V00024";"V00025";"V00026";"V00027";"V00028";"V00029";"V00030";"V00031";"V00032";"V00033";"V00034";"V00035";"V00036";"V00037";"V00038";"V00039";"V00040";"V00041";"V00042";"V00043";"V00044";"V00045";"V00046";"V00047";"V00048";"V00049";"V00050";"V00051";"V00052";"V00053";"V00054";"V00055";"V00056";"V00057";"V00058";"V00059";"V00060";"V00061";"V00062";"V00063";"V00064";"V00065";"V00066";"V00067";"V00068";"V00069";"V00070";"V00071";"V00072";"V00073";"V00074";"V00075";"V00076";"V00077";"V00078";"V00079";"V00080";"V00081";"V00082";"V00083";"V00084";"V00085";"V00086";"V00087";"V00088";"V00089"
"3540101";"Pongaí";"1363";"0";"0";"1363";"3393";"0";"0";"339";"0";"0";"1699";"0";"0";"1694";"0";"0";"301";"470";"318";"192";"48";"11";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1363";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3393";"339";"1699";"1694";"301";"470";"318";"192";"48";"11";"0";"0";"0";"0";"3393";"0";"0";"339";"0";"0"
"3540200";"Pontal";"13113";"0";"34";"13113";"37010";"7";"34";"4935";"0";"0";"18335";"3";"18";"18675";"4";"16";"2298";"3387";"3607";"2529";"903";"222";"32";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"34";"0";"0";"0";"0";"0";"0";"0";"0";"0";"12961";"17";"35";"82";"0";"0";"0";"0";"0";"0";"0";"0";"34";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"37010";"4935";"18335";"18675";"2298";"3387";"3607";"2529";"903";"222";"32";"0";"0";"0";"36625";"50";"81";"4858";"6";"6"
"3540259";"Pontalinda";"1549";"0";"0";"1549";"4121";"6";"0";"528";"0";"0";"2184";"6";"0";"1937";"0";"0";"302";"474";"394";"247";"85";"26";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1540";"0";"7";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4121";"528";"2184";"1937";"302";"474";"394";"247";"85";"26";"3";"0";"0";"0";"4101";"0";"20";"527";"0";"0"
"3540309";"Pontes Gestal";"957";"0";"0";"957";"2387";"0";"0";"281";"0";"0";"1186";"0";"0";"1201";"0";"0";"219";"320";"232";"129";"33";"9";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"956";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2387";"281";"1186";"1201";"219";"320";"232";"129";"33";"9";"0";"0";"0";"0";"2386";"0";"0";"281";"0";"0"
"3540408";"Populina";"1614";"0";"7";"1614";"4111";"0";"16";"422";"0";"0";"2013";"0";"13";"2098";"0";"3";"360";"518";"379";"241";"79";"21";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"3";"0";"0";"0";"0";"0";"0";"0";"1613";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4111";"422";"2013";"2098";"360";"518";"379";"241";"79";"21";"0";"0";"0";"0";"4107";"4";"0";"422";"0";"0"
"3540507";"Porangaba";"3923";"0";"4";"3923";"10445";"0";"4";"1134";"0";"4";"5333";"0";"0";"5112";"0";"3";"737";"1391";"845";"538";"232";"71";"8";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3852";"62";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"10445";"1134";"5333";"5112";"737";"1391";"845";"538";"232";"71";"8";"0";"0";"0";"10267";"168";"0";"1117";"17";"0"
"3540606";"Porto Feliz";"18654";"0";"37";"18654";"55043";"13";"54";"6765";"0";"0";"27303";"7";"27";"27740";"0";"27";"2709";"5309";"4804";"3427";"1462";"529";"138";"43";"9";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"37";"0";"0";"0";"0";"0";"0";"0";"0";"0";"16972";"705";"940";"5";"0";"0";"0";"0";"0";"0";"0";"0";"29";"0";"0";"0";"0";"0";"0";"8";"0";"0";"0";"55043";"6765";"27303";"27740";"2709";"5309";"4804";"3427";"1462";"529";"138";"43";"9";"3";"50412";"2209";"2378";"6053";"353";"349"
"3540705";"Porto Ferreira";"19041";"4";"48";"19041";"52544";"14";"57";"5808";"0";"0";"25563";"6";"34";"26981";"4";"21";"3204";"5942";"5006";"3078";"1132";"363";"85";"22";"8";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"47";"0";"0";"0";"0";"0";"0";"0";"0";"0";"18162";"419";"436";"6";"0";"0";"0";"3";"0";"0";"0";"0";"39";"9";"0";"0";"0";"0";"0";"0";"0";"0";"0";"52544";"5808";"25563";"26981";"3204";"5942";"5006";"3078";"1132";"363";"85";"22";"8";"0";"50339";"1261";"916";"5591";"132";"72"
"3540754";"Potim";"5736";"6";"29";"5736";"17508";"22";"29";"2542";"0";"0";"8633";"10";"25";"8875";"11";"4";"941";"1394";"1395";"1087";"520";"226";"75";"15";"3";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"29";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5539";"55";"121";"3";"0";"0";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"25";"0";"0";"0";"0";"17508";"2542";"8633";"8875";"941";"1394";"1395";"1087";"520";"226";"75";"15";"3";"0";"16998";"183";"313";"2460";"19";"57"
"3540804";"Potirendaba";"6803";"6";"20";"6803";"18449";"12";"20";"2270";"0";"0";"9098";"8";"10";"9351";"0";"10";"1174";"2148";"1761";"1155";"392";"68";"13";"3";"0";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"20";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6704";"63";"29";"0";"0";"0";"0";"0";"0";"0";"6";"0";"20";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"18449";"2270";"9098";"9351";"1174";"2148";"1761";"1155";"392";"68";"13";"3";"0";"0";"18185";"206";"57";"2231";"26";"9"
"3540853";"Pracinha";"539";"0";"0";"539";"1419";"0";"0";"161";"0";"0";"687";"0";"0";"732";"0";"0";"118";"148";"147";"84";"26";"10";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"539";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1419";"161";"687";"732";"118";"148";"147";"84";"26";"10";"0";"0";"0";"0";"1419";"0";"0";"161";"0";"0"
"3540903";"Pradópolis";"5865";"0";"0";"5865";"17071";"4";"0";"2007";"0";"0";"8436";"0";"0";"8635";"0";"0";"903";"1533";"1587";"1172";"430";"141";"34";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5855";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"17071";"2007";"8436";"8635";"903";"1533";"1587";"1172";"430";"141";"34";"6";"0";"0";"17037";"18";"5";"1999";"4";"0"
