"CD_MUN";"NM_MUN";"V01317";"V01318";"V01319";"V01320";"V01321";"V01322";"V01323";"V01324";"V01325";"V01326";"V01327";"V01328";"V01329";"V01330";"V01331";"V01332";"V01333";"V01334";"V01335";"V01336";"V01337";"V01338";"V01339";"V01340";"V01341";"V01342";"V01343";"V01344";"V01345";"V01346";"V01347";"V01348";"V01349";"V01350";"V01351";"V01352";"V01353";"V01354";"V01355";"V01356";"V01357";"V01358";"V01359";"V01360";"V01361";"V01362";"V01363";"V01364";"V01365";"V01366";"V01367";"V01368";"V01369";"V01370";"V01371";"V01372";"V01373";"V01374";"V01375";"V01376";"V01377";"V01378";"V01379";"V01380";"V01381";"V01382";"V01383";"V01384";"V01385";"V01386";"V01387";"V01388";"V01389";"V01390";"V01391";"V01392";"V01393";"V01394";"V01395";"V01396";"V01397";"V01398";"V01399";"V01400";"V01401";"V01402";"V01403";"V01404";"V01405";"V01406";"V01407";"V01408";"V01409";"V01410";"V01411"
"4210407";"Maracajá";"6815";"158";"0";"812";"14";"3384";"84";"0";"433";"4";"3431";"72";"0";"379";"10";"2405";"53";"0";"277";"3";"1501";"904";"33";"5";"0";"0";"194";"78";"0";"0";"4";"115";"675";"926";"681";"0";"0";"20";"10";"0";"0";"0";"0";"0";"0";"0";"13";"91";"93";"39";"0";"0";"0";"0";"0";"1410";"22";"0";"183";"3";"1434";"39";"0";"221";"0";"2814";"70";"0";"309";"3";"1157";"3";"0";"89";"0";"520";"3";"0";"42";"0";"2864";"69";"0";"379";"3";"434";"0";"0";"50";"0";"2995";"65";"0";"322";"6"
"4210506";"Maravilha";"22649";"680";"7";"4797";"0";"11066";"360";"0";"2483";"0";"11583";"304";"3";"2311";"0";"8631";"268";"0";"1702";"0";"4346";"4282";"146";"92";"0";"0";"891";"801";"0";"0";"12";"550";"2528";"3231";"2266";"0";"13";"83";"82";"17";"0";"0";"0";"0";"0";"7";"174";"634";"577";"255";"0";"0";"0";"0";"0";"4204";"65";"0";"1030";"0";"4641";"193";"0";"1360";"0";"9761";"314";"0";"1919";"0";"4037";"37";"0";"471";"0";"1517";"12";"0";"353";"0";"9547";"326";"0";"2122";"0";"1423";"10";"0";"329";"0";"10158";"277";"3";"1966";"0"
"4210555";"Marema";"1844";"55";"0";"252";"28";"941";"35";"0";"126";"11";"903";"18";"0";"126";"14";"632";"23";"0";"77";"4";"411";"221";"13";"8";"0";"0";"36";"37";"0";"3";"0";"10";"116";"250";"250";"0";"0";"0";"9";"0";"0";"0";"0";"0";"0";"0";"6";"23";"26";"5";"0";"0";"3";"0";"0";"264";"0";"0";"73";"6";"304";"18";"0";"74";"8";"756";"25";"0";"86";"9";"520";"0";"0";"11";"0";"83";"0";"0";"23";"0";"856";"34";"0";"100";"8";"90";"0";"0";"17";"0";"813";"17";"0";"103";"13"
"4210605";"Massaranduba";"14447";"258";"16";"2387";"22";"7288";"122";"0";"1264";"3";"7159";"114";"3";"1108";"10";"5297";"87";"0";"770";"0";"3474";"1823";"40";"34";"0";"0";"463";"283";"0";"0";"0";"139";"1266";"2240";"1604";"0";"7";"22";"24";"0";"0";"0";"0";"0";"0";"0";"51";"278";"289";"77";"0";"0";"0";"0";"0";"2500";"16";"3";"561";"3";"2624";"51";"0";"636";"0";"6483";"104";"0";"995";"3";"2840";"8";"0";"150";"3";"826";"0";"0";"184";"0";"6456";"115";"0";"1061";"0";"820";"3";"0";"147";"0";"6335";"99";"0";"937";"6"
"4210704";"Matos Costa";"1677";"81";"0";"1003";"0";"842";"42";"0";"552";"0";"835";"36";"0";"451";"0";"592";"30";"0";"342";"0";"355";"237";"18";"12";"0";"0";"209";"133";"0";"0";"0";"29";"128";"242";"190";"0";"0";"7";"9";"7";"0";"0";"0";"0";"0";"0";"16";"100";"144";"77";"0";"0";"0";"0";"0";"372";"6";"0";"207";"0";"327";"12";"0";"236";"0";"677";"40";"0";"423";"0";"301";"17";"0";"137";"0";"133";"3";"0";"69";"0";"709";"39";"0";"483";"0";"119";"0";"0";"52";"0";"716";"35";"0";"397";"0"
"4210803";"Meleiro";"6373";"87";"0";"518";"0";"3143";"43";"0";"269";"0";"3230";"36";"0";"231";"0";"2383";"10";"0";"177";"0";"1529";"854";"3";"4";"0";"0";"120";"40";"0";"0";"0";"47";"538";"986";"796";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"3";"41";"67";"22";"0";"0";"0";"0";"0";"1028";"18";"0";"91";"0";"1198";"21";"0";"113";"0";"2801";"23";"0";"218";"0";"1343";"0";"0";"55";"0";"341";"3";"0";"16";"0";"2798";"28";"0";"237";"0";"347";"3";"0";"12";"0";"2883";"27";"0";"202";"0"
"4210852";"Mirim Doce";"1962";"43";"0";"503";"0";"962";"21";"0";"282";"0";"1000";"10";"0";"219";"0";"699";"12";"0";"187";"0";"442";"255";"7";"3";"0";"0";"127";"53";"0";"0";"0";"12";"168";"289";"218";"0";"0";"0";"6";"0";"0";"0";"0";"0";"0";"0";"0";"40";"77";"50";"0";"0";"0";"0";"0";"345";"0";"0";"101";"0";"389";"3";"0";"102";"0";"822";"17";"0";"216";"0";"406";"4";"0";"82";"0";"109";"0";"0";"32";"0";"851";"20";"0";"247";"0";"124";"0";"0";"31";"0";"876";"9";"0";"185";"0"
"4210902";"Modelo";"3415";"21";"3";"628";"0";"1679";"8";"0";"351";"0";"1736";"8";"0";"277";"0";"1296";"5";"0";"217";"0";"849";"447";"0";"3";"0";"0";"143";"66";"0";"0";"0";"61";"313";"498";"410";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"11";"48";"82";"49";"0";"0";"0";"0";"0";"587";"0";"0";"131";"0";"694";"0";"0";"154";"0";"1431";"9";"0";"251";"0";"703";"4";"0";"82";"0";"177";"0";"0";"33";"0";"1499";"8";"0";"307";"0";"204";"0";"0";"33";"0";"1528";"7";"0";"236";"0"
"4211009";"Mondaí";"8580";"159";"0";"1299";"9";"4308";"86";"0";"644";"3";"4272";"62";"0";"649";"6";"3254";"45";"0";"458";"3";"2249";"1005";"24";"15";"0";"0";"281";"166";"0";"0";"0";"147";"836";"1217";"1038";"0";"0";"11";"10";"0";"0";"0";"0";"0";"0";"0";"29";"145";"173";"71";"0";"0";"0";"0";"0";"1543";"15";"0";"266";"0";"1641";"39";"0";"343";"0";"3617";"58";"0";"532";"3";"1779";"3";"0";"136";"0";"534";"0";"0";"85";"0";"3774";"75";"0";"549";"0";"525";"3";"0";"76";"0";"3745";"52";"0";"565";"5"
"4211058";"Monte Carlo";"5296";"351";"13";"3446";"7";"2567";"193";"4";"1811";"3";"2729";"154";"7";"1635";"0";"1764";"149";"7";"1243";"0";"928";"834";"86";"52";"0";"3";"742";"500";"0";"0";"0";"125";"463";"703";"456";"0";"8";"33";"42";"30";"0";"0";"0";"0";"0";"0";"107";"340";"526";"253";"0";"0";"0";"0";"0";"1262";"38";"0";"706";"0";"1320";"114";"3";"962";"0";"1966";"119";"7";"1391";"0";"748";"58";"0";"384";"0";"459";"9";"0";"222";"0";"2108";"178";"3";"1584";"3";"437";"9";"0";"242";"0";"2290";"135";"7";"1392";"0"
"4211108";"Monte Castelo";"5258";"132";"10";"2327";"0";"2645";"78";"3";"1219";"0";"2613";"42";"4";"1108";"0";"1832";"61";"4";"769";"0";"1041";"791";"37";"10";"3";"0";"471";"293";"0";"0";"3";"81";"471";"769";"492";"0";"0";"10";"23";"0";"0";"0";"0";"0";"0";"0";"25";"185";"320";"207";"0";"0";"0";"0";"0";"1146";"5";"0";"470";"0";"1136";"11";"3";"555";"0";"2151";"66";"3";"960";"0";"825";"16";"0";"339";"0";"407";"0";"0";"159";"0";"2238";"75";"3";"1055";"0";"363";"0";"0";"146";"0";"2247";"35";"4";"961";"0"
"4211207";"Morro da Fumaça";"15571";"777";"4";"2123";"5";"7621";"391";"0";"1115";"3";"7950";"363";"3";"1003";"0";"5405";"280";"0";"662";"3";"2604";"2794";"111";"135";"0";"0";"318";"301";"3";"0";"18";"232";"1614";"2098";"1372";"0";"0";"93";"71";"22";"0";"0";"0";"0";"0";"0";"30";"209";"232";"71";"0";"0";"0";"3";"0";"3156";"123";"0";"510";"0";"3269";"178";"0";"533";"0";"6773";"348";"0";"861";"4";"2364";"51";"0";"159";"0";"1038";"15";"0";"129";"0";"6571";"344";"0";"951";"3";"1068";"24";"0";"145";"0";"6873";"308";"0";"820";"0"
"4211256";"Morro Grande";"2764";"32";"0";"210";"0";"1406";"12";"0";"103";"0";"1358";"15";"0";"106";"0";"1001";"6";"0";"75";"0";"580";"421";"5";"0";"0";"0";"35";"30";"0";"0";"0";"40";"223";"404";"316";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"21";"23";"5";"0";"0";"0";"0";"0";"487";"9";"0";"49";"0";"525";"6";"0";"38";"0";"1185";"8";"0";"92";"0";"565";"3";"0";"15";"0";"172";"4";"0";"18";"0";"1232";"8";"0";"81";"0";"160";"0";"0";"6";"0";"1192";"13";"0";"93";"0"
"4211306";"Navegantes";"57633";"4148";"74";"24300";"79";"27592";"2255";"17";"12533";"35";"30041";"1873";"24";"11767";"14";"19812";"1620";"12";"7914";"15";"9663";"10149";"859";"720";"4";"0";"4079";"3829";"3";"0";"67";"934";"5817";"7801";"5128";"0";"72";"565";"627";"97";"0";"0";"0";"4";"0";"27";"601";"3189";"3015";"966";"0";"0";"3";"0";"0";"11955";"621";"3";"5669";"3";"11985";"1049";"10";"6643";"17";"24709";"2075";"25";"10192";"27";"8984";"220";"3";"1783";"0";"4243";"164";"0";"1839";"0";"23349";"2021";"9";"10672";"34";"3958";"153";"0";"1833";"0";"26083";"1673";"23";"9917";"9"
"4211405";"Nova Erechim";"3740";"222";"0";"1186";"0";"1898";"129";"0";"586";"0";"1842";"90";"0";"598";"0";"1399";"75";"0";"387";"0";"888";"509";"45";"21";"0";"0";"199";"180";"0";"0";"0";"50";"332";"553";"447";"0";"3";"31";"22";"0";"0";"0";"0";"0";"0";"0";"21";"127";"156";"65";"0";"0";"0";"0";"0";"644";"29";"0";"269";"0";"688";"69";"0";"299";"0";"1603";"105";"0";"483";"0";"801";"6";"0";"122";"0";"242";"14";"0";"85";"0";"1654";"115";"0";"495";"0";"211";"7";"0";"87";"0";"1627";"78";"0";"504";"0"
"4211454";"Nova Itaberaba";"3294";"127";"0";"1105";"4";"1694";"79";"0";"592";"4";"1600";"41";"0";"513";"0";"1229";"67";"0";"380";"3";"877";"351";"45";"10";"0";"0";"236";"142";"3";"0";"0";"40";"268";"509";"402";"0";"0";"6";"30";"13";"0";"0";"0";"0";"0";"0";"22";"121";"134";"80";"0";"0";"3";"0";"0";"547";"0";"0";"261";"0";"592";"10";"0";"287";"0";"1404";"60";"0";"421";"0";"751";"23";"0";"135";"0";"206";"0";"0";"79";"0";"1488";"76";"0";"504";"4";"171";"0";"0";"64";"0";"1428";"37";"0";"440";"0"
"4211504";"Nova Trento";"11798";"221";"7";"1600";"46";"5829";"119";"0";"843";"15";"5969";"89";"0";"752";"25";"4366";"77";"0";"539";"6";"2713";"1648";"39";"31";"0";"0";"328";"202";"0";"0";"0";"138";"995";"1763";"1448";"0";"0";"29";"10";"7";"0";"0";"0";"0";"0";"0";"31";"209";"199";"66";"0";"0";"0";"0";"0";"1936";"17";"3";"361";"12";"2243";"55";"0";"404";"12";"5220";"103";"0";"698";"6";"2396";"10";"0";"114";"0";"663";"3";"0";"137";"0";"5157";"108";"0";"698";"9";"643";"0";"0";"98";"0";"5322";"81";"0";"642";"19"
"4211603";"Nova Veneza";"11714";"363";"0";"1555";"0";"5755";"159";"0";"803";"0";"5959";"172";"0";"735";"0";"4232";"138";"0";"465";"0";"2640";"1589";"61";"52";"0";"0";"316";"124";"0";"0";"0";"75";"982";"1791";"1345";"0";"0";"43";"40";"10";"0";"0";"0";"0";"0";"0";"20";"136";"169";"70";"0";"0";"0";"0";"0";"1929";"41";"0";"332";"0";"2245";"86";"0";"428";"0";"5239";"155";"0";"602";"0";"2294";"17";"0";"129";"0";"638";"3";"0";"103";"0";"5114";"145";"0";"679";"0";"634";"8";"0";"100";"0";"5315";"152";"0";"611";"0"
