system:index,area_ha,classe,nome,prodes,territory,year,.geo
0_2_4,912.0180196594229,11,Macapá,2011,3,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_5,701.5376864654544,12,Macapá,2012,3,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_6,1385.3631003601072,13,Macapá,2013,3,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_7,1727.426068183905,14,Macapá,2014,3,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_8,1306.1488485282773,15,Macapá,2015,3,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_9,798.0028791450529,16,Macapá,2016,3,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_10,829.4619239227306,17,Macapá,2017,3,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_11,1247.310723015597,18,Macapá,2018,3,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_12,2551.719223484027,19,Macapá,2019,3,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_13,636.0744823799129,20,Macapá,2020,3,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_14,692.4567067260768,21,Macapá,2021,3,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_15,596.0764313713098,22,Macapá,2022,3,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_16,681.712784316254,23,Macapá,2023,3,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_17,462.72532153472537,24,Macapá,2024,3,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_18,288.97373717117495,50,Macapá,2010,3,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_19,20.55823638610839,51,Macapá,2011,3,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_20,13.409216603851439,52,Macapá,2012,3,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_21,1860.76439753113,55,Macapá,2015,3,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_22,335.6167899612423,56,Macapá,2016,3,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_23,108.90035552139273,57,Macapá,2017,3,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_24,53.9619022033695,58,Macapá,2018,3,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_25,15.662769465637194,59,Macapá,2019,3,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_26,9.532293861389123,60,Macapá,2020,3,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_27,15.762896699524,62,Macapá,2022,3,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_28,10.190137014770476,63,Macapá,2023,3,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_29,40.754908480834864,64,Macapá,2024,3,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_30,283960.4830162403,91,Macapá,Hidrografia,3,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_31,3645537.8448418695,100,Macapá,Vegetação Nativa,3,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_32,1787278.7490584254,101,Macapá,Não Floresta,3,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_0,170960.5085532813,7,Portel,2007,4,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_1,10847.935816423878,8,Portel,2008,4,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_2,3834.4363476386916,9,Portel,2009,4,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_3,8060.280236633983,10,Portel,2010,4,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_4,7617.406165151201,11,Portel,2011,4,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_5,1873.967874255373,12,Portel,2012,4,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_6,1874.8910614204367,13,Portel,2013,4,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_7,6437.363917977901,14,Portel,2014,4,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_8,11039.722683282485,15,Portel,2015,4,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_9,18164.657784922696,16,Portel,2016,4,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_10,17400.46248126072,17,Portel,2017,4,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_11,10178.25261489877,18,Portel,2018,4,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_12,26350.28180968398,19,Portel,2019,4,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_13,19887.833135771216,20,Portel,2020,4,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_14,24980.155571703446,21,Portel,2021,4,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_15,32267.242623246108,22,Portel,2022,4,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_16,20590.63313406811,23,Portel,2023,4,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_17,12747.63003077245,24,Portel,2024,4,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_18,190.22353719635015,50,Portel,2010,4,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_19,250.5040616432196,52,Portel,2012,4,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_20,54.53508247604366,54,Portel,2014,4,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_21,3240.9218436370834,55,Portel,2015,4,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_22,408.1773926696774,56,Portel,2016,4,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
