Municípios;Código municipal;UF;habitantes por km²
Aragoiânia;5201801;GO;54,51
Aragominas;1701309;TO;4,53
Araguacema;1701903;TO;2,14
Araguaçu;1702000;TO;1,58
Araguaiana;5101001;MT;0,59
Araguaína;1702109;TO;42,78
Araguainha;5101209;MT;1,5
Araguanã;1702158;TO;5,16
Araguanã;2100873;MA;13,89
Araguapaz;5202155;GO;3,27
Araguari;3103504;MG;43,16
Araguatins;1702208;TO;12,12
Araioses;2100907;MA;21,82
Aral Moreira;5001243;MS;6,5
Aramari;2902203;BA;26,65
Arambaré;4300851;RS;7,94
Arame;2100956;MA;8,57
Aramina;3503000;SP;26,72
Arandu;3503109;SP;24,08
Arantina;3103603;MG;32,6
Arapeí;3503158;SP;14,85
Arapiraca;2700300;AL;678,99
Arapoema;1702307;TO;3,56
Araponga;3103702;MG;26,49
Arapongas;4101507;PR;311,7
Araporã;3103751;MG;28,81
Arapoti;4101606;PR;18,98
Arapuá;3103801;MG;15,13
Arapuã;4101655;PR;16,23
Araputanga;5101258;MT;9,02
Araquari;4201307;SC;117,1
Arara;2500908;PB;133,75
Araranguá;4201406;SC;238,3
Araraquara;3503208;SP;241,35
Araras;3503307;SP;202,95
Ararendá;2301257;CE;32,42
Arari;2101004;MA;26,79
Araricá;4300877;RS;240,88
Araripe;2301307;CE;18,03
Araripina;2601102;PE;41,76
Araruama;3300209;RJ;203,16
Araruna;2501005;PB;69,67
Araruna;4101705;PR;29,37
Arataca;2902252;BA;23,38
Aratiba;4300901;RS;18,94
Aratuba;2301406;CE;93,72
Aratuípe;2902302;BA;49,86
Arauá;2800407;SE;51,86
Araucária;4101804;PR;323,22
Araújos;3103900;MG;37,47
Araxá;3104007;MG;95,95
Arceburgo;3104106;MG;56,34
Arco-Íris;3503356;SP;7,72
Arcos;3104205;MG;81,23
Arcoverde;2601201;PE;226,04
Areado;3104304;MG;49,03
Areal;3300225;RJ;106,82
Arealva;3503406;SP;16,06
Areia;2501104;PB;84,1
