Municípios;Código municipal;UF;habitantes por km²
Cumbe;2801900;SE;29,78
Cunha;3513603;SP;15,71
Cunha Porã;4204707;SC;49,76
Cunhataí;4204756;SC;35,91
Cuparaque;3120839;MG;17,57
Cupira;2605004;PE;247,15
Curaçá;2909901;BA;5,74
Curimatá;2203206;PI;4,81
Curionópolis;1502772;PA;8,42
Curitiba;4106902;PR;4.078,53
Curitibanos;4204806;SC;42,16
Curiúva;4107009;PR;23,68
Currais;2203230;PI;1,54
Currais Novos;2403103;RN;47,8
Curral de Cima;2505279;PB;60,79
Curral de Dentro;3120870;MG;12,97
Curral Novo do Piauí;2203271;PI;6,72
Curral Velho;2505303;PB;10,53
Curralinho;1502806;PA;9,37
Curralinhos;2203255;PI;12,76
Curuá;1502855;PA;9,86
Curuçá;1502905;PA;61,01
Cururupu;2103703;MA;25,09
Curvelândia;5103437;MT;13,73
Curvelo;3120904;MG;24,47
Custódia;2605103;PE;26,85
Cutias;1600212;AP;2,05
Damianópolis;5206701;GO;9,03
Damião;2505352;PB;26,76
Damolândia;5206800;GO;31,65
Darcinópolis;1706506;TO;3,55
Dário Meira;2910008;BA;26,16
Datas;3121001;MG;17,62
David Canabarro;4306304;RS;24,73
Davinópolis;2103752;MA;43,35
Davinópolis;5206909;GO;3,94
Delfim Moreira;3121100;MG;19,47
Delfinópolis;3121209;MG;6,09
Delmiro Gouveia;2702405;AL;81,65
Delta;3121258;MG;102,1
Demerval Lobão;2203305;PI;75,42
Denise;5103452;MT;5,51
Deodápolis;5003454;MS;16,49
Deputado Irapuan Pinheiro;2304269;CE;18,96
Derrubadas;4306320;RS;7,62
Descalvado;3513702;SP;42,13
Descanso;4204905;SC;29,72
Descoberto;3121308;MG;23,12
Desterro;2505402;PB;44,32
Desterro de Entre Rios;3121407;MG;20,29
Desterro do Melo;3121506;MG;21,04
Dezesseis de Novembro;4306353;RS;11,53
Diadema;3513801;SP;12.795,69
Diamante;2505600;PB;23,18
Diamante D'Oeste;4107157;PR;14,74
Diamante do Norte;4107108;PR;21,17
Diamante do Sul;4107124;PR;9,13
Diamantina;3121605;MG;12,26
Diamantino;5103502;MT;2,66
Dianópolis;1707009;TO;5,35
Dias d'Ávila;2910057;BA;389,01
Dilermando de Aguiar;4306379;RS;4,67
Diogo de Vasconcelos;3121704;MG;21,5
Dionísio;3121803;MG;20,18
Dionísio Cerqueira;4205001;SC;39,62
Diorama;5207105;GO;3,01
Dirce Reis;3513850;SP;18,38
Dirceu Arcoverde;2203354;PI;7,01
Divina Pastora;2802007;SE;47,95
Divinésia;3121902;MG;36,13
Divino;3122009;MG;61,3
Divino das Laranjeiras;3122108;MG;12,21
Divino de São Lourenço;3201803;ES;29,21
Divinolândia;3513900;SP;49,87
Divinolândia de Minas;3122207;MG;48,95
Divinópolis;3122306;MG;326,35
Divinópolis de Goiás;5208301;GO;5,38
Divinópolis do Tocantins;1707108;TO;2,98
Divisa Alegre;3122355;MG;53,66
Divisa Nova;3122405;MG;26,97
Divisópolis;3122454;MG;17,83
Dobrada;3514007;SP;58,5
Dois Córregos;3514106;SP;38,72
Dois Irmãos;4306403;RS;464,49
Dois Irmãos das Missões;4306429;RS;9,24
Dois Irmãos do Buriti;5003488;MS;4,56
Dois Irmãos do Tocantins;1707207;TO;1,69
Dois Lajeados;4306452;RS;23,19
Dois Riachos;2702504;AL;69,23
Dois Vizinhos;4107207;PR;107,18
Dolcinópolis;3514205;SP;28,32
Dom Aquino;5103601;MT;3,61
Dom Basílio;2910107;BA;17,24
Dom Bosco;3122470;MG;4,52
Dom Cavati;3122504;MG;82,39
Dom Eliseu;1502939;PA;11,1
Dom Expedito Lopes;2203404;PI;28,88
Dom Feliciano;4306502;RS;9,63
Dom Inocêncio;2203453;PI;2,37
Dom Joaquim;3122603;MG;12,28
Dom Macedo Costa;2910206;BA;46,5
Dom Pedrito;4306601;RS;7,12
Dom Pedro;2103802;MA;64,31
Dom Pedro de Alcântara;4306551;RS;32,75
Dom Silvério;3122702;MG;26,81
Dom Viçoso;3122801;MG;27,17
Domingos Martins;3201902;ES;28,81
Domingos Mourão;2203420;PI;4,8
Dona Emma;4205100;SC;23,69
Dona Euzébia;3122900;MG;86,76
Dona Francisca;4306700;RS;26,97
Dona Inês;2505709;PB;59,78
Dores de Campos;3123007;MG;80,16
Dores de Guanhães;3123106;MG;13,16
Dores do Indaiá;3123205;MG;11,37
Dores do Rio Preto;3202009;ES;41,41
Dores do Turvo;3123304;MG;21,57
Doresópolis;3123403;MG;9,55
Dormentes;2605152;PE;11,17
Douradina;4107256;PR;21,78
Douradina;5003504;MS;19,89
Dourado;3514304;SP;39,33
Douradoquara;3123502;MG;5,85
Dourados;5003702;MS;59,91
Doutor Camargo;4107306;PR;53,49
Doutor Maurício Cardoso;4306734;RS;17,48
Doutor Pedrinho;4205159;SC;9,72
Doutor Ricardo;4306759;RS;17,49
Doutor Severiano;2403202;RN;61,93
Doutor Ulysses;4128633;PR;7,33
Doverlândia;5207253;GO;2,16
Dracena;3514403;SP;93,24
Duartina;3514502;SP;46,6
Duas Barras;3301603;RJ;28,92
Duas Estradas;2505808;PB;123,17
Dueré;1707306;TO;1,24
Dumont;3514601;SP;85,04
Duque Bacelar;2103901;MA;32,2
Duque de Caxias;3301702;RJ;1.729,36
Durandé;3123528;MG;35,95
Echaporã;3514700;SP;12,04
Ecoporanga;3202108;ES;9,62
Edealina;5207352;GO;6,69
Edéia;5207402;GO;8
Eirunepé;1301407;AM;2,22
Eldorado;3514809;SP;7,9
Eldorado;5003751;MS;11,24
Eldorado do Carajás;1502954;PA;9,53
Eldorado do Sul;4306767;RS;77,63
Elesbão Veloso;2203503;PI;9,83
Elias Fausto;3514908;SP;87,46
Eliseu Martins;2203602;PI;3,99
Elisiário;3514924;SP;33,39
Elísio Medrado;2910305;BA;43,54
Elói Mendes;3123601;MG;52,72
Emas;2505907;PB;12,13
Embaúba;3514957;SP;27,94
Embu das Artes;3515004;SP;3.561,05
Embu-Guaçu;3515103;SP;430,29
Emilianópolis;3515129;SP;13,39
Encantado;4306809;RS;164,01
Encanto;2403301;RN;47,84
Encruzilhada;2910404;BA;10,11
Encruzilhada do Sul;4306908;RS;7,11
Enéas Marques;4107405;PR;31,21
Engenheiro Beltrão;4107504;PR;26,64
Engenheiro Caldas;3123700;MG;72,82
Engenheiro Coelho;3515152;SP;177,97
Engenheiro Navarro;3123809;MG;10,45
Engenheiro Paulo de Frontin;3301801;RJ;87,83
Engenho Velho;4306924;RS;18,2
Entre Folhas;3123858;MG;60,65
Entre Rios;2910503;BA;32,08
Entre Rios;4205175;SC;32,75
Entre Rios de Minas;3123908;MG;32,28
Entre Rios do Oeste;4107538;PR;37,82
Entre Rios do Sul;4306957;RS;22,39
Entre-Ijuís;4306932;RS;16,56
Envira;1301506;AM;2,29
Epitaciolândia;1200252;AC;11,35
Equador;2403400;RN;20,23
Erebango;4306973;RS;19,99
Erechim;4307005;RS;246,3
Ereré;2304277;CE;17,84
Érico Cardoso;2900504;BA;14,42
Ermo;4205191;SC;34,74
Ernestina;4307054;RS;12,72
Erval Grande;4307203;RS;17,26
Erval Seco;4307302;RS;19
Erval Velho;4205209;SC;23,39
Ervália;3124005;MG;56,66
Escada;2605202;PE;174,82
Esmeralda;4307401;RS;3,85
Esmeraldas;3124104;MG;94,09
Espera Feliz;3124203;MG;75,88
Esperança;2506004;PB;197,85
Esperança do Sul;4307450;RS;21,66
Esperança Nova;4107520;PR;13,09
Esperantina;1707405;TO;14,88
Esperantina;2203701;PI;45,08
Esperantinópolis;2104008;MA;40,47
Espigão Alto do Iguaçu;4107546;PR;14,69
Espigão D'Oeste;1100098;RO;6,51
Espinosa;3124302;MG;16,29
Espírito Santo;2403509;RN;78,18
Espírito Santo do Dourado;3124401;MG;25,05
Espírito Santo do Pinhal;3515186;SP;102,29
Espírito Santo do Turvo;3515194;SP;21,46
Esplanada;2910602;BA;25,05
Espumoso;4307500;RS;19,36
Estação;4307559;RS;55,96
Estância;2802106;SE;100,53
Estância Velha;4307609;RS;925,55
Esteio;4307708;RS;2.751,01
Estiva;3124500;MG;47,16
Estiva Gerbi;3557303;SP;152,34
Estreito;2104057;MA;12,24
Estrela;4307807;RS;173,94
Estrela d'Oeste;3515202;SP;31,78
Estrela Dalva;3124609;MG;16,64
Estrela de Alagoas;2702553;AL;59,17
Estrela do Indaiá;3124708;MG;4,36
Estrela do Norte;3515301;SP;10,2
Estrela do Norte;5207501;GO;10,64
Estrela do Sul;3124807;MG;8,32
Estrela Velha;4307815;RS;10,9
Euclides da Cunha;2910701;BA;30,34
Euclides da Cunha Paulista;3515350;SP;13,81
Eugênio de Castro;4307831;RS;6,3
Eugenópolis;3124906;MG;34,91
Eunápolis;2910727;BA;79,74
Eusébio;2304285;CE;941,03
Ewbank da Câmara;3125002;MG;37,32
Extrema;3125101;MG;218,67
Extremoz;2403608;RN;438,25
Exu;2605301;PE;23,82
Fagundes;2506103;PB;59,7
Fagundes Varela;4307864;RS;19,11
Faina;5207535;GO;3,63
Fama;3125200;MG;29,97
Faria Lemos;3125309;MG;19,3
Farias Brito;2304301;CE;34,34
Faro;1503002;PA;0,74
Farol;4107553;PR;10,51
Farroupilha;4307906;RS;194,51
Fartura;3515400;SP;38,77
Fartura do Piauí;2203750;PI;7,41
Fátima;1707553;TO;9,11
Fátima;2910750;BA;49,11
Fátima do Sul;5003801;MS;65,36
Faxinal;4107603;PR;22,89
Faxinal do Soturno;4308003;RS;39,54
Faxinal dos Guedes;4205308;SC;32,91
Faxinalzinho;4308052;RS;17,58
Fazenda Nova;5207600;GO;4,59
Fazenda Rio Grande;4107652;PR;1.275,93
Fazenda Vilanova;4308078;RS;50,6
Feijó;1200302;AC;1,27
Feira da Mata;2910776;BA;4,79
Feira de Santana;2910800;BA;472,45
Feira Grande;2702603;AL;129,11
Feira Nova;2605400;PE;198,9
Feira Nova;2802205;SE;32,6
Feira Nova do Maranhão;2104073;MA;4,95
Felício dos Santos;3125408;MG;14,35
Felipe Guerra;2403707;RN;22,13
Felisburgo;3125606;MG;10,88
Felixlândia;3125705;MG;8,99
Feliz;4308102;RS;145,14
Feliz Deserto;2702702;AL;36,01
Feliz Natal;5103700;MT;0,9
Fênix;4107702;PR;19,19
Fernandes Pinheiro;4107736;PR;15,39
Fernandes Tourinho;3125804;MG;18,36
Fernando de Noronha;2605459;PE;170,19
Fernando Falcão;2104081;MA;2,14
Fernando Pedroza;2403756;RN;9,11
Fernando Prestes;3515608;SP;34,95
Fernandópolis;3515509;SP;129,48
Fernão;3515657;SP;16,48
Ferraz de Vasconcelos;3515707;SP;6.064,85
Ferreira Gomes;1600238;AP;1,34
Ferreiros;2605509;PE;162,42
Ferros;3125903;MG;8,81
Fervedouro;3125952;MG;29,2
Figueira;4107751;PR;62,13
Figueirão;5003900;MS;0,73
Figueirópolis;1707652;TO;2,69
Figueirópolis D'Oeste;5103809;MT;3,58
Filadélfia;1707702;TO;3,87
Filadélfia;2910859;BA;30,87
Firmino Alves;2910909;BA;28,27
Firminópolis;5207808;GO;24,67
Flexeiras;2702801;AL;28,82
Flor da Serra do Sul;4107850;PR;17,07
Flor do Sertão;4205357;SC;30,5
Flora Rica;3515806;SP;6,62
Floraí;4107801;PR;25,07
Florânia;2403806;RN;20,08
Floreal;3515905;SP;13,38
Flores;2605608;PE;20,44
Flores da Cunha;4308201;RS;111,83
Flores de Goiás;5207907;GO;3,72
Flores do Piauí;2203800;PI;4,66
Floresta;2605707;PE;8,36
Floresta;4107900;PR;66,1
Floresta Azul;2911006;BA;34,45
Floresta do Araguaia;1503044;PA;5,2
Floresta do Piauí;2203859;PI;10,45
Florestal;3126000;MG;41,42
Florestópolis;4108007;PR;46,37
Floriano;2203909;PI;18,2
Floriano Peixoto;4308250;RS;9,9
Florianópolis;4205407;SC;796,05
Flórida;4108106;PR;31,93
Flórida Paulista;3516002;SP;24,72
Florínea;3516101;SP;17,05
Fonte Boa;1301605;AM;2,13
Fontoura Xavier;4308300;RS;16,37
Formiga;3126109;MG;45,44
Formigueiro;4308409;RS;11,08
Formosa;5208004;GO;19,97
Formosa da Serra Negra;2104099;MA;4,8
Formosa do Oeste;4108205;PR;27,67
Formosa do Rio Preto;2911105;BA;1,66
Formosa do Sul;4205431;SC;26,71
Formoso;3126208;MG;2,16
Formoso;5208103;GO;5,53
Formoso do Araguaia;1708205;TO;1,41
Forquetinha;4308433;RS;25,66
Forquilha;2304350;CE;42,5
Forquilhinha;4205456;SC;171,43
Fortaleza;2304400;CE;7.775,52
Fortaleza de Minas;3126307;MG;15,89
Fortaleza dos Nogueiras;2104107;MA;6,82
Fortaleza dos Valos;4308458;RS;6,88
Fortim;2304459;CE;60,68
Fortuna;2104206;MA;20,33
Fortuna de Minas;3126406;MG;15,57
Foz do Iguaçu;4108304;PR;468,51
Foz do Jordão;4108452;PR;20,93
Fraiburgo;4205506;SC;60,96
Franca;3516200;SP;582,05
Francinópolis;2204006;PI;16,77
Francisco Alves;4108320;PR;25,21
Francisco Ayres;2204105;PI;6,72
Francisco Badaró;3126505;MG;15,96
Francisco Beltrão;4108403;PR;131,5
Francisco Dantas;2403905;RN;14,87
Francisco Dumont;3126604;MG;2,86
Francisco Macedo;2204154;PI;16,34
Francisco Morato;3516309;SP;3.370,11
Francisco Sá;3126703;MG;8,55
Francisco Santos;2204204;PI;16,74
Franciscópolis;3126752;MG;7,02
Franco da Rocha;3516408;SP;1.090,94
Frecheirinha;2304509;CE;74,46
Frederico Westphalen;4308508;RS;123,04
Frei Gaspar;3126802;MG;9
Frei Inocêncio;3126901;MG;17,52
Frei Lagonegro;3126950;MG;20,25
Frei Martinho;2506202;PB;11,93
Frei Miguelinho;2605806;PE;64,11
Frei Paulo;2802304;SE;36,4
Frei Rogério;4205555;SC;15,19
Fronteira;3127008;MG;72,7
Fronteira dos Vales;3127057;MG;13,55
Fronteiras;2204303;PI;13,2
Fruta de Leite;3127073;MG;6,09
Frutal;3127107;MG;24,14
Frutuoso Gomes;2404002;RN;65,14
Fundão;3202207;ES;62,8
Funilândia;3127206;MG;23,45
Gabriel Monteiro;3516507;SP;19,92
Gado Bravo;2506251;PB;42,51
Gália;3516606;SP;17,93
Galiléia;3127305;MG;8,64
Galinhos;2404101;RN;6,17
Galvão;4205605;SC;22,96
Gameleira;2605905;PE;70,66
Gameleira de Goiás;5208152;GO;5,87
Gameleiras;3127339;MG;2,77
Gandu;2911204;BA;140,11
Garanhuns;2606002;PE;310,77
Gararu;2802403;SE;16,89
Garça;3516705;SP;75,76
Garibaldi;4308607;RS;203,78
Garopaba;4205704;SC;261,03
Garrafão do Norte;1503077;PA;15,36
Garruchos;4308656;RS;3,34
Garuva;4205803;SC;36,83
Gaspar;4205902;SC;187,71
Gastão Vidigal;3516804;SP;18,01
Gaúcha do Norte;5103858;MT;0,51
Gaurama;4308706;RS;27,71
Gavião;2911253;BA;11,34
Gavião Peixoto;3516853;SP;19,29
Geminiano;2204352;PI;12,36
General Câmara;4308805;RS;14,93
General Carneiro;4108502;PR;10,33
General Carneiro;5103908;MT;1,34
General Maynard;2802502;SE;153,44
General Salgado;3516903;SP;20,86
General Sampaio;2304608;CE;29,23
Gentil;4308854;RS;9,44
Gentio do Ouro;2911303;BA;2,85
Getulina;3517000;SP;15,12
Getúlio Vargas;4308904;RS;57,75
Gilbués;2204402;PI;3,12
Girau do Ponciano;2702900;AL;70,31
Giruá;4309001;RS;18,68
Glaucilândia;3127354;MG;20,07
Glicério;3517109;SP;15,17
Glória;2911402;BA;9,91
Glória D'Oeste;5103957;MT;3,49
Glória de Dourados;5004007;MS;21,17
Glória do Goitá;2606101;PE;125,04
Glorinha;4309050;RS;23,64
Godofredo Viana;2104305;MA;14,14
Godoy Moreira;4108551;PR;22,72
Goiabeira;3127370;MG;25,17
Goiana;2606200;PE;181,98
Goianá;3127388;MG;26,66
Goianápolis;5208400;GO;83,81
Goiandira;5208509;GO;8,73
Goianésia;5208608;GO;47,64
Goianésia do Pará;1503093;PA;3,75
Goiânia;5208707;GO;1.970,9
Goianinha;2404200;RN;139,07
Goianira;5208806;GO;336,41
Goianorte;1708304;TO;2,64
Goiás;5208905;GO;7,74
Goiatins;1709005;TO;1,94
Goiatuba;5209101;GO;14,38
Goioerê;4108601;PR;50,41
Goioxim;4108650;PR;9,35
Gonçalves;3127404;MG;25,23
Gonçalves Dias;2104404;MA;19,47
Gongogi;2911501;BA;27,47
Gonzaga;3127503;MG;24,98
Gouveia;3127602;MG;13,08
Gouvelândia;5209150;GO;5,31
Governador Archer;2104503;MA;22,95
Governador Celso Ramos;4206009;SC;132,61
Governador Dix-Sept Rosado;2404309;RN;10,57
Governador Edison Lobão;2104552;MA;29,89
Governador Eugênio Barros;2104602;MA;21,5
Governador Jorge Teixeira;1101005;RO;1,58
Governador Lindenberg;3202256;ES;30,58
Governador Luiz Rocha;2104628;MA;17,59
Governador Mangabeira;2911600;BA;192,84
Governador Newton Bello;2104651;MA;9,36
Governador Nunes Freire;2104677;MA;22,3
Governador Valadares;3127701;MG;109,79
Graça;2304657;CE;53,3
Graça Aranha;2104701;MA;22,19
Gracho Cardoso;2802601;SE;24,04
Grajaú;2104800;MA;8,34
Gramado;4309100;RS;167,69
Gramado dos Loureiros;4309126;RS;15,33
Gramado Xavier;4309159;RS;15,19
Grandes Rios;4108700;PR;17,95
Granito;2606309;PE;13,35
Granja;2304707;CE;20,03
Granjeiro;2304806;CE;43,41
Grão Mogol;3127800;MG;3,58
Grão-Pará;4206108;SC;18,77
Gravatá;2606408;PE;170,52
Gravataí;4309209;RS;566,05
Gravatal;4206207;SC;75,04
Groaíras;2304905;CE;70,08
Grossos;2404408;RN;79,69
Grupiara;3127909;MG;7,21
Guabiju;4309258;RS;9,64
Guabiruba;4206306;SC;142,55
Guaçuí;3202306;ES;62,71
Guadalupe;2204501;PI;10
Guaíba;4309308;RS;247,03
Guaiçara;3517208;SP;40,55
Guaimbê;3517307;SP;25,31
Guaíra;3517406;SP;31,21
Guaíra;4108809;PR;56,94
Guairaçá;4108908;PR;13,34
Guaiúba;2304954;CE;95
Guajará;1301654;AM;1,82
Guajará-Mirim;1100106;RO;1,58
Guajeru;2911659;BA;9,22
Guamaré;2404507;RN;59,21
Guamiranga;4108957;PR;32,09
Guanambi;2911709;BA;69,02
Guanhães;3128006;MG;29,99
Guapé;3128105;MG;14,74
Guapiaçu;3517505;SP;66,78
Guapiara;3517604;SP;41,81
Guapimirim;3301850;RJ;144,22
Guapirama;4109005;PR;24,46
Guapó;5209200;GO;38,01
Guaporé;4309407;RS;84,92
Guaporema;4109104;PR;10,89
Guará;3517703;SP;51,37
Guarabira;2506301;PB;353,99
Guaraçaí;3517802;SP;13,07
Guaraci;3517901;SP;16,13
Guaraci;4109203;PR;22,43
Guaraciaba;3128204;MG;27,98
Guaraciaba;4206405;SC;32,54
Guaraciaba do Norte;2305001;CE;67,33
Guaraciama;3128253;MG;12,94
Guaraí;1709302;TO;11,76
Guaraíta;5209291;GO;10,65
Guaramiranga;2305100;CE;62,26
Guaramirim;4206504;SC;174,61
Guaranésia;3128303;MG;64,95
Guarani;3128402;MG;29,2
Guarani d'Oeste;3518008;SP;22,96
Guarani das Missões;4309506;RS;25,51
Guarani de Goiás;5209408;GO;3,35
Guaraniaçu;4109302;PR;11,09
Guarantã;3518107;SP;13,92
Guarantã do Norte;5104104;MT;6,57
Guarapari;3202405;ES;211,34
Guarapuava;4109401;PR;57,48
Guaraqueçaba;4109500;PR;3,69
Guarará;3128501;MG;35,52
Guararapes;3518206;SP;32,48
Guararema;3518305;SP;115,34
Guaratinga;2911808;BA;8,7
Guaratinguetá;3518404;SP;156,84
Guaratuba;4109609;PR;31,7
Guarda-Mor;3128600;MG;3,16
Guareí;3518503;SP;26,44
Guariba;3518602;SP;138,73
Guaribas;2204550;PI;1,37
Guarinos;5209457;GO;3,64
Guarujá;3518701;SP;1.986,5
Guarujá do Sul;4206603;SC;47,99
Guarulhos;3518800;SP;4.053,57
Guatambú;4206652;SC;40,86
Guatapará;3518859;SP;17,7
Guaxupé;3128709;MG;177,76
Guia Lopes da Laguna;5004106;MS;8,11
Guidoval;3128808;MG;45,03
Guimarães;2104909;MA;21,49
Guimarânia;3128907;MG;23,11
Guiratinga;5104203;MT;2,17
Guiricema;3129004;MG;26,49
Gurinhatã;3129103;MG;2,81
Gurinhém;2506400;PB;40,44
Gurjão;2506509;PB;9,41
Gurupá;1503101;PA;3,71
Gurupi;1709500;TO;46,16
Guzolândia;3518909;SP;16,82
Harmonia;4309555;RS;110,76
Heitoraí;5209606;GO;14,67
Heliodora;3129202;MG;39,84
Heliópolis;2911857;BA;39,27
Herculândia;3519006;SP;25,05
Herval;4307104;RS;3,52
Herval d'Oeste;4206702;SC;100,3
Herveiras;4309571;RS;21,69
Hidrolândia;2305209;CE;19,27
Hidrolândia;5209705;GO;29,14
Hidrolina;5209804;GO;6,07
Holambra;3519055;SP;230,17
Honório Serpa;4109658;PR;9,84
Horizonte;2305233;CE;465,6
Horizontina;4309605;RS;82,07
Hortolândia;3519071;SP;3.791,35
Hugo Napoleão;2204600;PI;15,67
Hulha Negra;4309654;RS;7,26
Humaitá;1301704;AM;1,74
Humaitá;4309704;RS;34,67
Humberto de Campos;2105005;MA;14,98
Iacanga;3519105;SP;19,07
Iaciara;5209903;GO;6,84
Iacri;3519204;SP;19,04
Iaçu;2911907;BA;10,5
Iapu;3129301;MG;35,28
Iaras;3519253;SP;19,96
Iati;2606507;PE;27,03
Ibaiti;4109708;PR;32,1
Ibarama;4309753;RS;19,1
Ibaretama;2305266;CE;13,6
Ibaté;3519303;SP;110,59
Ibateguara;2703007;AL;51,75
Ibatiba;3202454;ES;105,63
Ibema;4109757;PR;42,75
Ibertioga;3129400;MG;15,01
Ibiá;3129509;MG;8,22
Ibiaçá;4309803;RS;12,98
Ibiaí;3129608;MG;7,19
Ibiam;4206751;SC;13,75
Ibiapina;2305308;CE;57,87
Ibiara;2506608;PB;23,43
Ibiassucê;2912004;BA;21,58
Ibicaraí;2912103;BA;93,81
Ibicaré;4206801;SC;20,9
Ibicoara;2912202;BA;25,43
Ibicuí;2912301;BA;12,23
Ibicuitinga;2305332;CE;27,39
Ibimirim;2606606;PE;14,13
Ibipeba;2912400;BA;12,01
Ibipitanga;2912509;BA;14,53
Ibiporã;4109807;PR;173,31
Ibiquera;2912608;BA;5,33
Ibirá;3519402;SP;42,99
Ibiracatu;3129657;MG;14,38
Ibiraci;3129707;MG;19,48
Ibiraçu;3202504;ES;58,25
Ibiraiaras;4309902;RS;23,19
Ibirajuba;2606705;PE;37,66
Ibirama;4206900;SC;80,38
Ibirapitanga;2912707;BA;53,62
Ibirapuã;2912806;BA;11,54
Ibirapuitã;4309951;RS;12,12
Ibirarema;3519501;SP;27,98
Ibirataia;2912905;BA;59,07
Ibirité;3129806;MG;2.355,65
Ibirubá;4310009;RS;35,55
Ibitiara;2913002;BA;7,98
Ibitinga;3519600;SP;87,08
Ibitirama;3202553;ES;28,77
Ibititá;2913101;BA;29,61
Ibitiúra de Minas;3129905;MG;49,26
Ibituruna;3130002;MG;17,62
Ibiúna;3519709;SP;71,45
Ibotirama;2913200;BA;15,12
Icapuí;2305357;CE;50,86
Içara;4207007;SC;256,24
Icaraí de Minas;3130051;MG;17,07
Icaraíma;4109906;PR;13,32
Icatu;2105104;MA;22,05
Icém;3519808;SP;21,58
Ichu;2913309;BA;44,85
Icó;2305407;CE;33,57
Iconha;3202603;ES;60,56
Ielmo Marinho;2404606;RN;37,22
Iepê;3519907;SP;12,81
Igaci;2703106;AL;71,77
Igaporã;2913408;BA;18,56
Igaraçu do Tietê;3520004;SP;236,39
Igaracy;2502607;PB;28,66
Igarapava;3520103;SP;55,97
Igarapé;3130101;MG;413,25
Igarapé do Meio;2105153;MA;37,9
Igarapé Grande;2105203;MA;29,55
Igarapé-Açu;1503200;PA;45,54
Igarapé-Miri;1503309;PA;32,47
Igarassu;2606804;PE;375,38
Igaratá;3520202;SP;36,2
Igaratinga;3130200;MG;49,6
Igrapiúna;2913457;BA;22,24
Igreja Nova;2703205;AL;50,11
Igrejinha;4310108;RS;237,22
Iguaba Grande;3301876;RJ;547,7
Iguaí;2913507;BA;24,98
Iguape;3520301;SP;14,71
Iguaraçu;4110003;PR;32,35
Iguaracy;2606903;PE;13,22
Iguatama;3130309;MG;10,87
Iguatemi;5004304;MS;4,67
Iguatu;2305506;CE;98,83
Iguatu;4110052;PR;20,05
Ijaci;3130408;MG;66,54
Ijuí;4310207;RS;123,05
Ilha Comprida;3520426;SP;68,27
Ilha das Flores;2802700;SE;157,91
Ilha de Itamaracá;2607604;PE;371
Ilha Grande;2204659;PI;71,51
Ilha Solteira;3520442;SP;39,15
Ilhabela;3520400;SP;100,85
Ilhéus;2913606;BA;112,46
Ilhota;4207106;SC;67,37
Ilicínea;3130507;MG;33,85
Ilópolis;4310306;RS;33,63
Imaculada;2506707;PB;32,7
Imaruí;4207205;SC;21,91
Imbaú;4110078;PR;43,08
Imbé;4310330;RS;674,55
Imbé de Minas;3130556;MG;35,51
Imbituba;4207304;SC;289,57
Imbituva;4110102;PR;39,55
Imbuia;4207403;SC;50,22
Imigrante;4310363;RS;42,95
Imperatriz;2105302;MA;199,49
Inácio Martins;4110201;PR;10,33
Inaciolândia;5209937;GO;8,64
Inajá;2607000;PE;20,79
Inajá;4110300;PR;13,02
Inconfidentes;3130606;MG;48,8
Indaiabira;3130655;MG;6,32
Indaial;4207502;SC;166,08
Indaiatuba;3520509;SP;820,9
Independência;2305605;CE;7,46
Independência;4310405;RS;17,94
Indiana;3520608;SP;39,35
Indianópolis;3130705;MG;7,43
Indianópolis;4110409;PR;36,27
Indiaporã;3520707;SP;14,43
Indiara;5209952;GO;17,86
Indiaroba;2802809;SE;52,32
Indiavaí;5104500;MT;3,74
Ingá;2506806;PB;67,48
Ingaí;3130804;MG;8,44
Ingazeira;2607109;PE;19,56
Inhacorá;4310413;RS;17,71
Inhambupe;2913705;BA;31,22
Inhangapi;1503408;PA;21,85
Inhapi;2703304;AL;40,77
Inhapim;3130903;MG;26,45
Inhaúma;3131000;MG;25,47
Inhuma;2204709;PI;15,29
Inhumas;5210000;GO;84,9
Inimutaba;3131109;MG;13,99
Inocência;5004403;MS;1,46
Inúbia Paulista;3520806;SP;41,49
Iomerê;4207577;SC;25,24
Ipaba;3131158;MG;151,32
Ipameri;5210109;GO;5,83
Ipanema;3131208;MG;42,75
Ipanguaçu;2404705;RN;37,76
Ipaporanga;2305654;CE;16,42
Ipatinga;3131307;MG;1.381,16
Ipaumirim;2305704;CE;43,7
Ipaussu;3520905;SP;65,43
Ipê;4310439;RS;9,01
Ipecaetá;2913804;BA;36,8
Iperó;3521002;SP;214,1
Ipeúna;3521101;SP;35,95
Ipiaçu;3131406;MG;8,1
Ipiaú;2913903;BA;145,14
Ipiguá;3521150;SP;49,7
Ipira;4207601;SC;29,41
Ipirá;2914000;BA;18,32
Ipiranga;4110508;PR;15,7
Ipiranga de Goiás;5210158;GO;11,95
Ipiranga do Norte;5104526;MT;2,28
Ipiranga do Piauí;2204808;PI;17,79
Ipiranga do Sul;4310462;RS;10,84
Ipixuna;1301803;AM;2,01
Ipixuna do Pará;1503457;PA;5,82
Ipojuca;2607208;PE;189,6
Iporá;5210208;GO;34,74
Iporã;4110607;PR;24,3
Iporã do Oeste;4207650;SC;46,45
Iporanga;3521200;SP;3,51
Ipu;2305803;CE;65,62
Ipuã;3521309;SP;30,99
Ipuaçu;4207684;SC;29,61
Ipubi;2607307;PE;41,8
Ipueira;2404804;RN;15,98
Ipueiras;1709807;TO;1,94
Ipueiras;2305902;CE;24,81
