Municípios;Código municipal;UF;%
Anapu;1500859;PA;sem ocorrência
Anapurus;2100808;MA;sem ocorrência
Anastácio;5000708;MS;sem ocorrência
Anaurilândia;5000807;MS;sem ocorrência
Anchieta;3200409;ES;2,4
Anchieta;4200804;SC;sem ocorrência
Andaraí;2901304;BA;2,18
Andirá;4101101;PR;sem ocorrência
Andorinha;2901353;BA;sem ocorrência
Andradas;3102605;MG;sem ocorrência
Andradina;3502101;SP;sem ocorrência
André da Rocha;4300661;RS;sem ocorrência
Andrelândia;3102803;MG;sem ocorrência
Angatuba;3502200;SP;0,05
Angelândia;3102852;MG;sem ocorrência
Angélica;5000856;MS;3,83
Angelim;2601003;PE;sem ocorrência
Angelina;4200903;SC;sem ocorrência
Angical;2901403;BA;sem ocorrência
Angical do Piauí;2200608;PI;sem ocorrência
Angico;1701051;TO;sem ocorrência
Angicos;2400802;RN;sem ocorrência
Angra dos Reis;3300100;RJ;4,71
Anguera;2901502;BA;sem ocorrência
Ângulo;4101150;PR;sem ocorrência
Anhanguera;5201207;GO;sem ocorrência
Anhembi;3502309;SP;2,22
Anhumas;3502408;SP;sem ocorrência
Anicuns;5201306;GO;sem ocorrência
Anísio de Abreu;2200707;PI;sem ocorrência
Anita Garibaldi;4201000;SC;sem ocorrência
Anitápolis;4201109;SC;sem ocorrência
Anori;1300102;AM;8,54
Anta Gorda;4300703;RS;sem ocorrência
Antas;2901601;BA;sem ocorrência
Antonina;4101200;PR;6,23
Antonina do Norte;2300804;CE;sem ocorrência
Antônio Almeida;2200806;PI;sem ocorrência
Antônio Cardoso;2901700;BA;11,32
Antônio Carlos;3102902;MG;sem ocorrência
Antônio Carlos;4201208;SC;sem ocorrência
Antônio Dias;3103009;MG;sem ocorrência
Antônio Gonçalves;2901809;BA;sem ocorrência
Antônio João;5000906;MS;sem ocorrência
Antônio Martins;2400901;RN;sem ocorrência
Antônio Olinto;4101309;PR;sem ocorrência
Antônio Prado;4300802;RS;sem ocorrência
Antônio Prado de Minas;3103108;MG;sem ocorrência
Aparecida;2500775;PB;sem ocorrência
Aparecida;3502507;SP;sem ocorrência
Aparecida d'Oeste;3502606;SP;sem ocorrência
Aparecida de Goiânia;5201405;GO;sem ocorrência
Aparecida do Rio Doce;5201454;GO;sem ocorrência
Aparecida do Rio Negro;1701101;TO;3,27
Aparecida do Taboado;5001003;MS;sem ocorrência
Aperibé;3300159;RJ;2,69
Apiacá;3200508;ES;sem ocorrência
