Municípios;Código municipal;UF;homens para cada 100 mulheres
Arcoverde;2601201;PE;89,07
Areado;3104304;MG;99,33
Areal;3300225;RJ;95,93
Arealva;3503406;SP;99,36
Areia;2501104;PB;94,96
Areia Branca;2401107;RN;93,74
Areia Branca;2800506;SE;101,82
Areia de Baraúnas;2501153;PB;103,97
Areial;2501203;PB;93,33
Areias;3503505;SP;101,07
Areiópolis;3503604;SP;101,67
Arenápolis;5101308;MT;101,06
Arenópolis;5202353;GO;105,01
Arês;2401206;RN;97,07
Argirita;3104403;MG;99,85
Aricanduva;3104452;MG;103,67
Arinos;3104502;MG;103,2
Aripuanã;5101407;MT;110,6
Ariquemes;1100023;RO;98,25
Ariranha;3503703;SP;98,69
Ariranha do Ivaí;4101853;PR;99,23
Armação dos Búzios;3300233;RJ;97,76
Armazém;4201505;SC;98,83
Arneiroz;2301505;CE;100,3
Aroazes;2200905;PI;96,02
Aroeiras;2501302;PB;98,19
Aroeiras do Itaim;2200954;PI;107,24
Arraial;2201002;PI;100,98
Arraial do Cabo;3300258;RJ;92,36
Arraias;1702406;TO;105,29
Arroio do Meio;4301008;RS;98
Arroio do Padre;4301073;RS;103,52
Arroio do Sal;4301057;RS;94,7
Arroio do Tigre;4301206;RS;98,49
Arroio dos Ratos;4301107;RS;103,75
Arroio Grande;4301305;RS;97,04
Arroio Trinta;4201604;SC;95,28
Artur Nogueira;3503802;SP;97,02
Aruanã;5202502;GO;109,17
Arujá;3503901;SP;94,28
Arvoredo;4201653;SC;111,81
Arvorezinha;4301404;RS;99,81
Ascurra;4201703;SC;98,26
Aspásia;3503950;SP;99,14
Assaí;4101903;PR;92,32
Assaré;2301604;CE;98,04
Assis;3504008;SP;92,86
Assis Brasil;1200054;AC;104,34
Assis Chateaubriand;4102000;PR;95,2
Assunção;2501351;PB;98,66
Assunção do Piauí;2201051;PI;103,89
Astolfo Dutra;3104601;MG;100,91
Astorga;4102109;PR;93,55
Atalaia;2700409;AL;94,91
Atalaia;4102208;PR;109,03
Atalaia do Norte;1300201;AM;106,25
Atalanta;4201802;SC;104,24
Ataléia;3104700;MG;104,28
Atibaia;3504107;SP;93,93
Atílio Vivácqua;3200706;ES;99,43
Augustinópolis;1702554;TO;95,42
Augusto Corrêa;1500909;PA;104,69
Augusto de Lima;3104809;MG;103,86
Augusto Pestana;4301503;RS;96,51
Áurea;4301552;RS;99,53
Aurelino Leal;2902401;BA;96,95
Auriflama;3504206;SP;97,32
Aurilândia;5202601;GO;101,35
Aurora;2301703;CE;98,88
Aurora;4201901;SC;105,21
Aurora do Pará;1500958;PA;103,28
Aurora do Tocantins;1702703;TO;103,78
Autazes;1300300;AM;110,81
Avaí;3504305;SP;98,54
Avanhandava;3504404;SP;122,68
Avaré;3504503;SP;98,06
Aveiro;1501006;PA;110,13
Avelino Lopes;2201101;PI;102,08
Avelinópolis;5202809;GO;100
Axixá;2101103;MA;99,12
Axixá do Tocantins;1702901;TO;95,99
Babaçulândia;1703008;TO;110,36
Bacabal;2101202;MA;92,09
Bacabeira;2101251;MA;98,48
Bacuri;2101301;MA;103,6
Bacurituba;2101350;MA;106,45
Bady Bassitt;3504602;SP;96,24
Baependi;3104908;MG;99,96
Bagé;4301602;RS;89,99
Bagre;1501105;PA;103,93
Baía da Traição;2501401;PB;98,79
Baía Formosa;2401404;RN;103,62
Baianópolis;2902500;BA;105,8
Baião;1501204;PA;100,75
Baixa Grande;2902609;BA;98,71
Baixa Grande do Ribeiro;2201150;PI;105,07
Baixio;2301802;CE;102,27
Baixo Guandu;3200805;ES;95,43
Balbinos;3504701;SP;443,64
Baldim;3105004;MG;99,52
Baliza;5203104;GO;113,3
Balneário Arroio do Silva;4201950;SC;96,23
Balneário Barra do Sul;4202057;SC;99,3
Balneário Camboriú;4202008;SC;89,51
Balneário Gaivota;4202073;SC;95,45
Balneário Piçarras;4212809;SC;97,33
Balneário Pinhal;4301636;RS;92,4
Balneário Rincão;4220000;SC;100,14
Balsa Nova;4102307;PR;101,61
Bálsamo;3504800;SP;95,12
Balsas;2101400;MA;97,6
Bambuí;3105103;MG;96,58
Banabuiú;2301851;CE;101,16
Bananal;3504909;SP;94,25
Bananeiras;2501500;PB;99,9
Bandeira;3105202;MG;108,58
Bandeira do Sul;3105301;MG;98,1
Bandeirante;4202081;SC;111,43
Bandeirantes;4102406;PR;93,59
Bandeirantes;5001508;MS;105,91
Bandeirantes do Tocantins;1703057;TO;110,83
Bannach;1501253;PA;115,91
Banzaê;2902658;BA;101,55
Barão;4301651;RS;101,84
Barão de Antonina;3505005;SP;99,72
Barão de Cocais;3105400;MG;95,76
Barão de Cotegipe;4301701;RS;101,92
Barão de Grajaú;2101509;MA;98,95
Barão de Melgaço;5101605;MT;114,08
Barão de Monte Alto;3105509;MG;99,92
Barão do Triunfo;4301750;RS;111,3
Baraúna;2401453;RN;100,8
Baraúna;2501534;PB;96,37
Barbacena;3105608;MG;90,49
Barbalha;2301901;CE;93,35
